stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon
81857,81857,NEER & RIDGEWOOD,Neer Ave & San Francisco St,29.468011,-98.520868
91257,91257,NEER & HILDEBRAND,Neer Ave & Buckeye Ave,29.466595,-98.520867
93243,93243,HILDEBRAND & JERRY (SPRR),,29.466432,-98.513997
36827,36827,N. FLORES & HESS,N Flores St & Hess St,29.448548,-98.503808
46337,46337,N. FLORES & HICKMAN,N Flores St & W Myrtle St,29.446121,-98.503838
46637,46637,N. FLORES OPPOSITE MYRTLE,N Flores St & Hickman St,29.445065,-98.503837
56427,56427,N. LAREDO & LOMBRANO,,29.441008,-98.503969
55887,55887,N. LAREDO & IH-10 W (CYPRESS),,29.43932,-98.504978
65167,65167,FRIO & RIVAS,,29.437976,-98.506224
65467,65467,Frio btwn. Arbor & Delgado,,29.436306,-98.506461
72396,72396,BROADWAY & BROOKLYN,,29.431693,-98.483582
63696,63696,BROADWAY & JONES,BROADWAY AVE & E JONES AVE,29.435058,-98.479691
89626,89626,N. NEW BRAUNFELS & BURR RD.,,29.468082,-98.460707
89336,89336,N. NEW BRNFLS. OPP. HARRIGAN CT.,,29.470299,-98.460237
79866,79866,N. NEW BRAUNFELS & ELIZABETH,,29.472194,-98.459588
79356,79356,N. NEW BRAUNFELS & GARRATY,,29.474864,-98.459278
79156,79156,N. NEW BRAUNFELS & ARCADIA,,29.475857,-98.459278
69666,69666,N. NEW BRAUNFELS & BARTLET,,29.477869,-98.459267
69256,69256,N. NEW BRAUNFELS & ZAMBRANO,,29.480088,-98.459277
59856,59856,N. NEW BRNFLS. & CANTERBURY HILL,,29.481985,-98.459263
29966,29966,N. NEW BRAUNFELS & EISENHAUER,,29.495609,-98.459294
29556,29556,N. NEW BRAUNFELS & CALUMET,,29.497745,-98.459129
99686,99686,NACOGDOCHES & ROCKHILL,,29.506704,-98.458034
81956,81956,NACOGDOCHES OPPOSITE EL RANCHO,,29.510225,-98.455807
81496,81496,NACOGDOCHES & COUNTRY LANE,,29.512459,-98.454423
72486,72486,NACOGDOCHES OPPOSITE CHEEVER,,29.51714,-98.451007
73146,73146,NACOGDOCHES & DANBURY,,29.519071,-98.44915
64436,64436,NACOGDOCHES & WOODBURY,,29.522182,-98.446095
55816,55816,NACOGDOCHES OPPOSITE LOVELACE,,29.524752,-98.442907
56616,56616,NACOGDOCHES & FOREST OAK DR.,,29.526095,-98.43944
56466,56466,NACOGDOCHES OPPOSITE ASTRONAUT,,29.527051,-98.437108
