"Loam"||"144642559"|"147103463"
"Clay loam"||"144642560"|"147103464"
"Silty clay loam"||"144642561"|"147103465"
"Loam"||"144642562"|"147103309"
"Clay loam"||"144642563"|"147103544"
"Silty clay loam"||"144642564"|"147103310"
|"Variable"|"144642566"|"147103545"
|"Bedrock"|"144643241"|"147101045"
"Loam"||"144643242"|"147101191"
|"Material"|"144643244"|"147101047"
|"Material"|"144643245"|"147101048"
|"Material"|"144643243"|"147101046"
"Loamy fine sand"||"144643287"|"147103466"
"Sandy clay loam"||"144643279"|"147101558"
"Sandy clay"||"144643280"|"147103467"
"Clay"||"144643281"|"147103468"
"Clay loam"||"144643282"|"147103311"
"Sandy clay loam"||"144643283"|"147103546"
"Sandy clay"||"144643284"|"147103312"
"Fine sandy loam"||"144643285"|"147103547"
"Sandy clay loam"||"144643286"|"147103271"
"Sandy clay loam"||"144642945"|"147101417"
"Sandy clay"||"144642946"|"147103273"
"Clay"||"144642947"|"147103274"
"Clay loam"||"144642948"|"147103275"
"Sandy clay loam"||"144642949"|"147103313"
"Sandy clay"||"144642950"|"147103548"
"Fine sandy loam"||"144642951"|"147103314"
"Sandy clay loam"||"144642952"|"147103549"
"Loamy fine sand"||"144642953"|"147103272"
"Sandy clay loam"||"144643288"|"147101418"
"Sandy clay"||"144643289"|"147103470"
"Clay"||"144643290"|"147103471"
"Clay loam"||"144643291"|"147103472"
"Sandy clay loam"||"144643292"|"147103550"
"Sandy clay"||"144643293"|"147103315"
"Fine sandy loam"||"144643294"|"147103551"
"Sandy clay loam"||"144643295"|"147103316"
"Loamy fine sand"||"144643296"|"147103469"
"Silty clay"||"144644730"|"147102735"
"Clay"||"144644731"|"147102444"
"Clay"||"144644732"|"147102737"
"Silty clay"||"144644733"|"147102740"
"Clay"||"144644734"|"147102744"
"Clay"||"144644729"|"147102566"
"Clay"||"144644747"|"147102569"
"Clay"||"144644752"|"147102572"
"Clay"||"144644748"|"147102747"
"Silty clay"||"144644749"|"147102749"
"Clay"||"144644750"|"147102751"
"Silty clay"||"144644751"|"147102753"
"Clay"||"144643607"|"147103473"
"Clay"||"144643608"|"147103317"
"Silty clay"||"144643609"|"147103552"
"Clay"||"144643610"|"147103318"
"Silty clay"||"144643611"|"147103553"
"Clay"||"144643612"|"147103276"
"Clay"||"144643613"|"147103277"
"Clay"||"144643614"|"147103554"
"Silty clay"||"144643615"|"147103319"
"Clay"||"144643616"|"147103278"
"Silty clay"||"144643617"|"147103279"
"Clay"||"144643618"|"147103320"
"Clay"||"144643619"|"147103474"
"Silty clay"||"144643620"|"147103475"
"Clay"||"144643621"|"147103476"
"Silty clay"||"144643622"|"147103477"
"Clay"||"144643623"|"147103321"
"Clay"||"144643624"|"147103555"
"Clay"||"144643625"|"147103322"
"Silty clay"||"144643626"|"147103556"
"Clay"||"144643627"|"147101391"
"Silty clay"||"144643628"|"147101392"
"Clay"||"144644516"|"147101140"
"Silty clay"||"144644517"|"147101143"
"Clay"||"144644514"|"147101287"
"Silty clay"||"144644515"|"147101136"
"Clay"||"144644513"|"147101589"
"Clay"||"144644039"|"147102202"
"Clay"||"144644042"|"147102211"
"Silty clay"||"144644043"|"147102339"
"Clay"||"144644040"|"147102206"
"Silty clay"||"144644041"|"147102209"
"Clay"||"144644338"|"147102694"
"Clay"||"144644339"|"147102696"
"Silty clay"||"144644340"|"147102867"
"Clay"||"144644341"|"147102998"
"Silty clay"||"144644342"|"147102869"
"Clay"||"144643912"|"147101450"
"Silty clay"||"144643913"|"147101584"
"Silty clay"||"144643914"|"147101580"
"Silty clay loam"||"144643915"|"147101281"
"Clay loam"||"144643916"|"147101582"
"Clay"||"144643917"|"147101452"
"Clay"||"144643911"|"147101448"
"Clay"||"144643925"|"147101128"
"Clay"||"144643928"|"147101134"
"Silty clay"||"144643929"|"147101283"
"Silty clay loam"||"144643930"|"147101586"
"Clay loam"||"144643931"|"147101285"
"Clay"||"144643926"|"147101130"
"Silty clay"||"144643927"|"147101132"
"Clay"||"144643708"|"147101896"
"Silty clay"||"144643709"|"147101757"
"Clay"||"144643707"|"147102318"
"Clay"||"144643710"|"147102160"
"Silty clay"||"144643711"|"147101758"
"Clay"||"144643909"|"147101280"
"Clay"||"144643908"|"147101127"
"Clay"||"144643910"|"147101579"
"Clay"||"144642616"|"147103324"
"Silty clay"||"144642617"|"147103478"
"Clay"||"144642618"|"147103323"
"Silty clay"||"144642619"|"147103558"
"Clay"||"144642620"|"147103557"
"Loam"||"144642621"|"147103480"
"Sandy clay loam"||"144642622"|"147103481"
"Clay loam"||"144642623"|"147103482"
"Loam"||"144642624"|"147103479"
"Loam"||"144643337"|"147103325"
"Sandy clay loam"||"144643338"|"147103560"
"Clay loam"||"144643339"|"147103326"
"Loam"||"144643340"|"147103559"
"Clay loam"||"144642992"|"147103280"
