|"Side Slope"|||"38143919"|"14881914"
||||"38143682"|"14881552"
||"Tread"||"38143785"|"14882086"
||"Tread"||"38143828"|"14882110"
|"Side Slope"|||"38143923"|"14881946"
|"Base Slope"|||"38143923"|"14881947"
||"Tread"||"38143494"|"14881674"
||"Tread"||"38143544"|"14881358"
|"Interfluve"|||"38143775"|"14882081"
|"Side Slope"|||"38143693"|"14881411"
||"Tread"||"38143870"|"14881357"
|"Interfluve"|||"38143640"|"14881263"
|"Side Slope"|||"38143818"|"14882090"
|||"Dip"|"38143859"|"14881943"
|"Side Slope"|||"38143599"|"14881406"
|"Side Slope"|||"38143547"|"14881355"
|"Interfluve"|||"38143521"|"14881272"
|"Base Slope"|||"38143764"|"14881756"
|"Side Slope"|||"38143886"|"14881531"
|||"Dip"|"38143595"|"14881387"
|"Base Slope"|||"38143690"|"14881412"
||"Tread"||"38143735"|"14881493"
|"Side Slope"|||"38143653"|"14881270"
||"Tread"||"38143761"|"14881920"
||"Tread"||"38143753"|"14881918"
||"Tread"||"38143864"|"14881942"
|"Interfluve"|||"38143838"|"14881594"
||"Tread"||"38143536"|"14881360"
|"Side Slope"|||"38143816"|"14882084"
||"Tread"||"38143742"|"14881380"
||"Tread"||"38143746"|"14881375"
|"Base Slope"|||"38143842"|"14881910"
|"Interfluve"|||"38143605"|"14881691"
|"Interfluve"|||"38143904"|"14881401"
|"Side Slope"|||"38143904"|"14881400"
|"Interfluve"|||"38143650"|"14881658"
||"Tread"||"38143783"|"14882087"
|||"Dip"|"38143856"|"14881933"
|"Interfluve"|||"38143835"|"14881596"
|"Side Slope"|||"38143705"|"14881471"
||"Tread"||"38143554"|"14881665"
||"Tread"||"38143683"|"14881557"
||"Tread"||"38143757"|"14881921"
|"Base Slope"|||"38143915"|"14881915"
|"Interfluve"|||"38143857"|"14881931"
|"Interfluve"|||"38143894"|"14881391"
||"Tread"||"38143528"|"14881299"
|"Interfluve"|||"38143809"|"14881501"
||"Tread"||"38143602"|"14881408"
|"Side Slope"|||"38143820"|"14882085"
|"Side Slope"|||"38143872"|"14881422"
|"Interfluve"|||"38143846"|"14881650"
|"Side Slope"|||"38143846"|"14881649"
|"Interfluve"|||"38143506"|"14881294"
|"Base Slope"|||"38143591"|"14881386"
|"Side Slope"|||"38143883"|"14881528"
||"Riser"||"38143635"|"14881277"
||"Tread"||"38143867"|"14881356"
||"Riser"||"38143532"|"14881301"
|"Interfluve"|||"38143617"|"14882134"
|"Side Slope"|||"38143830"|"14882107"
