"Shoulder"|"38143925"|"15936030"
"Backslope"|"38143925"|"15936031"
"Backslope"|"38143800"|"15935950"
"Summit"|"38143874"|"15935994"
"Shoulder"|"38143874"|"15935993"
"Summit"|"38143771"|"15935937"
"Shoulder"|"38143771"|"15935936"
"Footslope"|"38143782"|"15935942"
"Shoulder"|"38143769"|"15935935"
"Summit"|"38143549"|"15935868"
"Shoulder"|"38143549"|"15935869"
"Summit"|"38143665"|"15935913"
"Shoulder"|"38143665"|"15935912"
|"38143561"|"15935872"
"Backslope"|"38143905"|"15936016"
"Footslope"|"38143905"|"15936017"
"Summit"|"38143793"|"15935945"
"Shoulder"|"38143793"|"15935944"
"Backslope"|"38143793"|"15935943"
"Footslope"|"38143780"|"15935941"
"Backslope"|"38143539"|"15935864"
"Footslope"|"38143539"|"15935865"
"Backslope"|"38143582"|"15935876"
"Summit"|"38143824"|"15935958"
"Backslope"|"38143623"|"15935900"
"Summit"|"38143551"|"15935870"
"Shoulder"|"38143551"|"15935871"
"Backslope"|"38143834"|"15935964"
"Backslope"|"38143612"|"15935894"
"Summit"|"38143832"|"15935962"
"Shoulder"|"38143832"|"15935963"
"Backslope"|"38143695"|"15935924"
"Summit"|"38143906"|"15936018"
"Shoulder"|"38143906"|"15936019"
"Backslope"|"38143906"|"15936020"
"Backslope"|"38143844"|"15935972"
"Footslope"|"38143844"|"15935971"
"Backslope"|"38143518"|"15935860"
"Backslope"|"38143579"|"15935875"
"Toeslope"|"38143601"|"15935886"
"Summit"|"38143865"|"15935988"
"Shoulder"|"38143865"|"15935986"
"Backslope"|"38143865"|"15935987"
"Summit"|"38143677"|"15935916"
"Shoulder"|"38143677"|"15935915"
"Backslope"|"38143656"|"15935909"
"Summit"|"38143896"|"15936006"
"Backslope"|"38143896"|"15936005"
"Summit"|"38143812"|"15935953"
"Backslope"|"38143814"|"15935954"
"Summit"|"38143917"|"15936024"
"Shoulder"|"38143917"|"15936025"
"Backslope"|"38143917"|"15936023"
"Backslope"|"38143563"|"15935873"
"Footslope"|"38143729"|"15935930"
"Summit"|"38143840"|"15935969"
"Summit"|"38143766"|"15935933"
"Shoulder"|"38143766"|"15935934"
"Backslope"|"38143803"|"15935951"
"Backslope"|"38143877"|"15935995"
"Backslope"|"38143699"|"15935926"
"Summit"|"38143689"|"15935919"
"Shoulder"|"38143689"|"15935918"
"Backslope"|"38143689"|"15935920"
|"38143501"|"15935857"
"Backslope"|"38143903"|"15936012"
"Footslope"|"38143903"|"15936011"
"Summit"|"38143615"|"15935895"
"Shoulder"|"38143926"|"15936032"
"Backslope"|"38143926"|"15936033"
"Backslope"|"38143696"|"15935925"
"Backslope"|"38143778"|"15935940"
"Backslope"|"38143541"|"15935866"
|"38143493"|"15935856"
"Backslope"|"38143659"|"15935910"
"Summit"|"38143589"|"15935878"
"Backslope"|"38143589"|"15935879"
"Summit"|"38143622"|"15935899"
"Shoulder"|"38143622"|"15935898"
"Summit"|"38143862"|"15935983"
"Shoulder"|"38143862"|"15935984"
"Backslope"|"38143862"|"15935985"
"Summit"|"38143611"|"15935893"
"Shoulder"|"38143611"|"15935892"
"Footslope"|"38143714"|"15935929"
"Summit"|"38143593"|"15935882"
"Shoulder"|"38143593"|"15935881"
"Summit"|"38143648"|"15935905"
"Shoulder"|"38143648"|"15935904"
"Footslope"|"38143691"|"15935922"
"Summit"|"38143826"|"15935959"
"Shoulder"|"38143826"|"15935960"
"Backslope"|"38143607"|"15935889"
"Backslope"|"38143598"|"15935884"
"Backslope"|"38143850"|"15935978"
"Footslope"|"38143850"|"15935979"
"Summit"|"38143795"|"15935946"
"Shoulder"|"38143795"|"15935947"
"Backslope"|"38143795"|"15935948"
"Summit"|"38143608"|"15935890"
"Shoulder"|"38143608"|"15935891"
"Backslope"|"38143619"|"15935897"
"Backslope"|"38143889"|"15936000"
"Footslope"|"38143913"|"15936021"
"Footslope"|"38143597"|"15935883"
"Backslope"|"38143848"|"15935977"
"Footslope"|"38143848"|"15935976"
"Footslope"|"38143900"|"15936007"
"Summit"|"38143880"|"15935996"
"Shoulder"|"38143880"|"15935997"
"Backslope"|"38143702"|"15935927"
"Backslope"|"38143892"|"15936002"
"Footslope"|"38143892"|"15936001"
"Backslope"|"38143673"|"15935914"
"Backslope"|"38143662"|"15935911"
"Footslope"|"38143902"|"15936010"
"Backslope"|"38143627"|"15935901"
"Backslope"|"38143797"|"15935949"
"Backslope"|"38143919"|"15936026"
|"38143682"|"15935917"
"Backslope"|"38143901"|"15936008"
"Footslope"|"38143901"|"15936009"
"Backslope"|"38143923"|"15936027"
"Footslope"|"38143923"|"15936029"
"Toeslope"|"38143923"|"15936028"
"Summit"|"38143775"|"15935939"
"Shoulder"|"38143775"|"15935938"
"Backslope"|"38143693"|"15935923"
"Backslope"|"38143870"|"15935990"
"Summit"|"38143640"|"15935902"
"Shoulder"|"38143640"|"15935903"
"Shoulder"|"38143818"|"15935956"
"Backslope"|"38143599"|"15935885"
"Backslope"|"38143547"|"15935867"
"Summit"|"38143521"|"15935861"
"Shoulder"|"38143521"|"15935862"
"Footslope"|"38143764"|"15935932"
"Toeslope"|"38143764"|"15935931"
"Backslope"|"38143886"|"15935999"
"Footslope"|"38143690"|"15935921"
"Backslope"|"38143653"|"15935908"
"Footslope"|"38143584"|"15935877"
"Summit"|"38143838"|"15935967"
"Shoulder"|"38143838"|"15935968"
"Backslope"|"38143536"|"15935863"
"Backslope"|"38143816"|"15935955"
"Footslope"|"38143842"|"15935970"
"Summit"|"38143605"|"15935887"
"Shoulder"|"38143605"|"15935888"
"Summit"|"38143904"|"15936014"
"Shoulder"|"38143904"|"15936015"
"Backslope"|"38143904"|"15936013"
"Summit"|"38143650"|"15935906"
"Shoulder"|"38143650"|"15935907"
"Summit"|"38143835"|"15935965"
"Shoulder"|"38143835"|"15935966"
