"Ustic"|"24092778"|"10124286"
"Ustic"|"24092779"|"10124287"
"Ustic"|"24092537"|"10124245"
"Ustic"|"24092538"|"10124246"
"Ustic"|"24092434"|"10124233"
"Ustic"|"24093244"|"10124384"
"Ustic"|"24093245"|"10124385"
"Ustic"|"24093246"|"10124386"
"Ustic"|"24093043"|"10124338"
"Ustic"|"24093044"|"10124339"
"Ustic"|"24093045"|"10124340"
"Ustic"|"24093046"|"10124341"
"Ustic"|"24092686"|"10124273"
"Ustic"|"24092687"|"10124274"
"Ustic"|"24093145"|"10124352"
"Ustic"|"24093146"|"10124353"
"Ustic"|"24093147"|"10124354"
"Ustic"|"24093148"|"10124355"
"Ustic"|"24093149"|"10124356"
"Ustic"|"24092640"|"10124264"
"Ustic"|"24092641"|"10124265"
"Ustic"|"24092642"|"10124266"
"Ustic"|"24092643"|"10124267"
"Ustic"|"24093141"|"10124348"
"Ustic"|"24093142"|"10124349"
"Ustic"|"24093143"|"10124350"
"Ustic"|"24093144"|"10124351"
"Ustic"|"24093168"|"10124365"
"Ustic"|"24093169"|"10124366"
"Ustic"|"24093170"|"10124367"
"Ustic"|"24093171"|"10124368"
"Ustic"|"24093172"|"10124369"
"Ustic"|"24093173"|"10124370"
"Ustic"|"24093174"|"10124371"
"Ustic"|"24093175"|"10124372"
"Ustic"|"24093342"|"10124393"
"Ustic"|"24093343"|"10124394"
"Ustic"|"24093344"|"10124395"
"Ustic"|"24093345"|"10124396"
"Ustic"|"24093235"|"10124380"
"Aridic (torric)"|"24093236"|"10124381"
"Ustic"|"24093237"|"10124382"
"Ustic"|"24093239"|"10124383"
"Ustic"|"24092635"|"10124260"
"Ustic"|"24092636"|"10124261"
"Ustic"|"24092637"|"10124262"
"Aridic (torric)"|"24092638"|"10124263"
"Ustic"|"24092688"|"10124275"
"Ustic"|"24092570"|"10124250"
"Ustic"|"24092435"|"10124234"
"Ustic"|"24092436"|"10124235"
"Ustic"|"24092438"|"10124236"
"Ustic"|"24092440"|"10124237"
"Ustic"|"24092677"|"10124271"
"Ustic"|"24092678"|"10124272"
"Ustic"|"24092689"|"10124276"
"Ustic"|"24092571"|"10124251"
"Ustic"|"24092690"|"10124277"
"Ustic"|"24093220"|"10124374"
"Ustic"|"24093221"|"10124375"
"Ustic"|"24093222"|"10124376"
"Ustic"|"24093229"|"10124377"
"Ustic"|"24093230"|"10124378"
