1434|"545924"|"393700"|"32775235"
1434|"545925"|"393700"|"32775313"
1434|"545929"|"393700"|"32775399"
1434|"545930"|"393700"|"32775469"
1434|"545931"|"393700"|"32775547"
1434|"545932"|"393700"|"32775625"
996|"545924"|"393699"|"32775242"
996|"545925"|"393699"|"32775320"
996|"545929"|"393699"|"32775402"
996|"545930"|"393699"|"32775476"
996|"545931"|"393699"|"32775554"
996|"545932"|"393699"|"32775632"
149|"545924"|"393698"|"32775232"
149|"545925"|"393698"|"32775310"
149|"545929"|"393698"|"32775396"
149|"545930"|"393698"|"32775466"
149|"545931"|"393698"|"32775544"
149|"545932"|"393698"|"32775622"
3922|"545924"|"390521"|"32775211"
3922|"545925"|"390521"|"32775289"
3922|"545926"|"390521"|"32775350"
3922|"545930"|"390521"|"32775445"
3922|"545931"|"390521"|"32775523"
3922|"545932"|"390521"|"32775601"
1173|"545924"|"390520"|"32775210"
1173|"545925"|"390520"|"32775288"
1173|"545926"|"390520"|"32775349"
1173|"545930"|"390520"|"32775444"
1173|"545931"|"390520"|"32775522"
1173|"545932"|"390520"|"32775600"
1068|"545924"|"390519"|"32775209"
1068|"545925"|"390519"|"32775287"
1068|"545926"|"390519"|"32775348"
1068|"545930"|"390519"|"32775443"
1068|"545931"|"390519"|"32775521"
1068|"545932"|"390519"|"32775599"
1547|"545924"|"390518"|"32775208"
1547|"545925"|"390518"|"32775286"
1547|"545926"|"390518"|"32775347"
1547|"545930"|"390518"|"32775442"
1547|"545931"|"390518"|"32775520"
1547|"545932"|"390518"|"32775598"
385|"545924"|"390517"|"32775207"
385|"545925"|"390517"|"32775285"
385|"545926"|"390517"|"32775346"
385|"545930"|"390517"|"32775441"
385|"545931"|"390517"|"32775519"
385|"545932"|"390517"|"32775597"
9931|"545924"|"390516"|"32775228"
9931|"545925"|"390516"|"32775306"
9931|"545926"|"390516"|"32775352"
9931|"545930"|"390516"|"32775462"
9931|"545931"|"390516"|"32775540"
9931|"545932"|"390516"|"32775618"
2325|"545924"|"390515"|"32775229"
2325|"545925"|"390515"|"32775307"
2325|"545926"|"390515"|"32775353"
2325|"545930"|"390515"|"32775463"
2325|"545931"|"390515"|"32775541"
2325|"545932"|"390515"|"32775619"
12708|"545924"|"390514"|"32775213"
12708|"545925"|"390514"|"32775291"
12708|"545926"|"390514"|"32775351"
12708|"545930"|"390514"|"32775447"
12708|"545931"|"390514"|"32775525"
12708|"545932"|"390514"|"32775603"
6727|"545924"|"390513"|"32775206"
6727|"545925"|"390513"|"32775284"
6727|"545926"|"390513"|"32775345"
6727|"545930"|"390513"|"32775440"
6727|"545931"|"390513"|"32775518"
6727|"545932"|"390513"|"32775596"
1117|"545924"|"390512"|"32775205"
1117|"545925"|"390512"|"32775283"
1117|"545928"|"390512"|"32775375"
1117|"545930"|"390512"|"32775439"
1117|"545931"|"390512"|"32775517"
1117|"545932"|"390512"|"32775595"
13301|"545924"|"390511"|"32775204"
13301|"545925"|"390511"|"32775282"
13301|"545928"|"390511"|"32775374"
13301|"545930"|"390511"|"32775438"
13301|"545931"|"390511"|"32775516"
13301|"545932"|"390511"|"32775594"
12509|"545924"|"390510"|"32775203"
12509|"545925"|"390510"|"32775281"
12509|"545928"|"390510"|"32775373"
12509|"545930"|"390510"|"32775437"
12509|"545931"|"390510"|"32775515"
12509|"545932"|"390510"|"32775593"
2340|"545924"|"390509"|"32775202"
2340|"545925"|"390509"|"32775280"
2340|"545928"|"390509"|"32775372"
2340|"545930"|"390509"|"32775436"
2340|"545931"|"390509"|"32775514"
2340|"545932"|"390509"|"32775592"
1084|"545924"|"390508"|"32775201"
1084|"545925"|"390508"|"32775279"
1084|"545928"|"390508"|"32775371"
1084|"545930"|"390508"|"32775435"
1084|"545931"|"390508"|"32775513"
1084|"545932"|"390508"|"32775591"
20460|"545924"|"390507"|"32775227"
20460|"545925"|"390507"|"32775305"
20460|"545928"|"390507"|"32775389"
20460|"545930"|"390507"|"32775461"
20460|"545931"|"390507"|"32775539"
20460|"545932"|"390507"|"32775617"
3041|"545924"|"390506"|"32775219"
3041|"545925"|"390506"|"32775297"
3041|"545928"|"390506"|"32775381"
3041|"545930"|"390506"|"32775453"
3041|"545931"|"390506"|"32775531"
3041|"545932"|"390506"|"32775609"
10134|"545924"|"390505"|"32775200"
10134|"545925"|"390505"|"32775278"
10134|"545928"|"390505"|"32775370"
10134|"545930"|"390505"|"32775434"
10134|"545931"|"390505"|"32775512"
10134|"545932"|"390505"|"32775590"
33703|"545924"|"390504"|"32775240"
33703|"545925"|"390504"|"32775318"
33703|"545929"|"390504"|"32775400"
33703|"545930"|"390504"|"32775474"
33703|"545931"|"390504"|"32775552"
33703|"545932"|"390504"|"32775630"
33520|"545924"|"390503"|"32775212"
33520|"545925"|"390503"|"32775290"
33520|"545929"|"390503"|"32775395"
33520|"545930"|"390503"|"32775446"
33520|"545931"|"390503"|"32775524"
33520|"545932"|"390503"|"32775602"
63417|"545924"|"390502"|"32775241"
63417|"545925"|"390502"|"32775319"
63417|"545929"|"390502"|"32775401"
63417|"545930"|"390502"|"32775475"
63417|"545931"|"390502"|"32775553"
63417|"545932"|"390502"|"32775631"
1623|"545924"|"390501"|"32775239"
1623|"545925"|"390501"|"32775317"
1623|"545928"|"390501"|"32775393"
1623|"545930"|"390501"|"32775473"
1623|"545931"|"390501"|"32775551"
1623|"545932"|"390501"|"32775629"
799|"545924"|"390500"|"32775226"
799|"545925"|"390500"|"32775304"
799|"545928"|"390500"|"32775388"
799|"545930"|"390500"|"32775460"
799|"545931"|"390500"|"32775538"
799|"545932"|"390500"|"32775616"
2511|"545924"|"390499"|"32775199"
2511|"545925"|"390499"|"32775277"
2511|"545926"|"390499"|"32775344"
2511|"545930"|"390499"|"32775433"
2511|"545931"|"390499"|"32775511"
2511|"545932"|"390499"|"32775589"
5611|"545924"|"390498"|"32775198"
5611|"545925"|"390498"|"32775276"
5611|"545926"|"390498"|"32775343"
5611|"545930"|"390498"|"32775432"
5611|"545931"|"390498"|"32775510"
5611|"545932"|"390498"|"32775588"
16796|"545924"|"390497"|"32775197"
16796|"545925"|"390497"|"32775275"
16796|"545926"|"390497"|"32775342"
16796|"545930"|"390497"|"32775431"
16796|"545931"|"390497"|"32775509"
16796|"545932"|"390497"|"32775587"
3310|"545924"|"390496"|"32775196"
3310|"545925"|"390496"|"32775274"
3310|"545929"|"390496"|"32775394"
3310|"545930"|"390496"|"32775430"
3310|"545931"|"390496"|"32775508"
3310|"545932"|"390496"|"32775586"
5414|"545924"|"390495"|"32775195"
5414|"545925"|"390495"|"32775273"
5414|"545928"|"390495"|"32775369"
5414|"545930"|"390495"|"32775429"
5414|"545931"|"390495"|"32775507"
5414|"545932"|"390495"|"32775585"
13754|"545924"|"390494"|"32775194"
13754|"545925"|"390494"|"32775272"
13754|"545928"|"390494"|"32775368"
13754|"545930"|"390494"|"32775428"
13754|"545931"|"390494"|"32775506"
13754|"545932"|"390494"|"32775584"
161|"545924"|"390493"|"32775193"
161|"545925"|"390493"|"32775271"
161|"545928"|"390493"|"32775367"
161|"545930"|"390493"|"32775427"
161|"545931"|"390493"|"32775505"
161|"545932"|"390493"|"32775583"
3951|"545924"|"390492"|"32775192"
3951|"545925"|"390492"|"32775270"
3951|"545926"|"390492"|"32775341"
3951|"545930"|"390492"|"32775426"
3951|"545931"|"390492"|"32775504"
3951|"545932"|"390492"|"32775582"
562|"545924"|"390491"|"32775191"
562|"545925"|"390491"|"32775269"
562|"545926"|"390491"|"32775340"
562|"545930"|"390491"|"32775425"
562|"545931"|"390491"|"32775503"
562|"545932"|"390491"|"32775581"
468|"545924"|"390490"|"32775225"
468|"545925"|"390490"|"32775303"
468|"545928"|"390490"|"32775387"
468|"545930"|"390490"|"32775459"
468|"545931"|"390490"|"32775537"
468|"545932"|"390490"|"32775615"
32018|"545924"|"390489"|"32775223"
32018|"545925"|"390489"|"32775301"
32018|"545928"|"390489"|"32775385"
32018|"545930"|"390489"|"32775457"
32018|"545931"|"390489"|"32775535"
32018|"545932"|"390489"|"32775613"
42276|"545924"|"390488"|"32775224"
42276|"545925"|"390488"|"32775302"
42276|"545928"|"390488"|"32775386"
42276|"545930"|"390488"|"32775458"
42276|"545931"|"390488"|"32775536"
42276|"545932"|"390488"|"32775614"
3270|"545924"|"390487"|"32775190"
3270|"545925"|"390487"|"32775268"
3270|"545926"|"390487"|"32775339"
3270|"545930"|"390487"|"32775424"
3270|"545931"|"390487"|"32775502"
3270|"545932"|"390487"|"32775580"
14478|"545924"|"390486"|"32775247"
14478|"545925"|"390486"|"32775325"
14478|"545929"|"390486"|"32775404"
14478|"545930"|"390486"|"32775481"
14478|"545931"|"390486"|"32775559"
14478|"545932"|"390486"|"32775637"
758|"545924"|"390485"|"32775189"
758|"545925"|"390485"|"32775267"
758|"545926"|"390485"|"32775338"
758|"545930"|"390485"|"32775423"
758|"545931"|"390485"|"32775501"
758|"545932"|"390485"|"32775579"
1835|"545924"|"390484"|"32775188"
1835|"545925"|"390484"|"32775266"
1835|"545926"|"390484"|"32775337"
1835|"545930"|"390484"|"32775422"
1835|"545931"|"390484"|"32775500"
1835|"545932"|"390484"|"32775578"
1248|"545924"|"390483"|"32775187"
1248|"545925"|"390483"|"32775265"
