"w"|"71622064"|"30531383"
"p"|"71622063"|"30531381"
"r"|"71622062"|"30531385"
"k"|"71622065"|"30531387"
"p"|"71621712"|"30531603"
"r"|"71621711"|"30531607"
"k"|"71621714"|"30531609"
"w"|"71621713"|"30531605"
"r"|"71622644"|"30531704"
"k"|"71622642"|"30531703"
"w"|"71622399"|"30532159"
"r"|"71622398"|"30532160"
"w"|"71622528"|"30532195"
"r"|"71622527"|"30532196"
"r"|"71621864"|"30531707"
"p"|"71621863"|"30531705"
"ss"|"71621865"|"30531706"
"ss"|"71622518"|"30531267"
"t"|"71622521"|"30531266"
"t"|"71622548"|"30531938"
"k"|"71622549"|"30531939"
"t"|"71622549"|"30531940"
"t"|"71622552"|"30531945"
"k"|"71622553"|"30531946"
"t"|"71622553"|"30531947"
"t"|"71622743"|"30531948"
"k"|"71622740"|"30531949"
"t"|"71622740"|"30531950"
"k"|"71622635"|"30531700"
"t"|"71622635"|"30531701"
"r"|"71622637"|"30531702"
"t"|"71622634"|"30531699"
"t"|"71621860"|"30531695"
"r"|"71621862"|"30531698"
"k"|"71621861"|"30531696"
"t"|"71621861"|"30531697"
"k"|"71621910"|"30531273"
"m"|"71621910"|"30531274"
"k"|"71621911"|"30531275"
"m"|"71621911"|"30531276"
"k"|"71621909"|"30531271"
"m"|"71621909"|"30531272"
"k"|"71622616"|"30531712"
"ss"|"71622616"|"30531715"
"d"|"71622617"|"30531718"
"k"|"71622617"|"30531721"
"p"|"71622614"|"30531709"
"d"|"71622629"|"30531730"
"k"|"71622629"|"30531732"
"ss"|"71622627"|"30531724"
"k"|"71622628"|"30531726"
"ss"|"71622628"|"30531728"
"k"|"71622510"|"30531534"
"ss"|"71622510"|"30531537"
"k"|"71622509"|"30531528"
"ss"|"71622509"|"30531531"
"p"|"71622508"|"30531525"
"p"|"71622293"|"30531817"
"k"|"71622295"|"30531826"
"ss"|"71622295"|"30531829"
"k"|"71622294"|"30531820"
"ss"|"71622294"|"30531823"
"p"|"71622429"|"30531798"
"k"|"71622430"|"30531800"
"ss"|"71622430"|"30531802"
"k"|"71622431"|"30531804"
"ss"|"71622431"|"30531806"
"k"|"71622250"|"30531507"
"ss"|"71622250"|"30531509"
"k"|"71622251"|"30531511"
"ss"|"71622251"|"30531513"
"p"|"71622249"|"30531505"
"p"|"71622255"|"30531515"
"k"|"71622257"|"30531521"
"ss"|"71622257"|"30531523"
"k"|"71622256"|"30531517"
"ss"|"71622256"|"30531519"
"k"|"71622149"|"30531554"
"ss"|"71622149"|"30531555"
"k"|"71622150"|"30531556"
"ss"|"71622150"|"30531557"
"k"|"71622247"|"30531500"
"ss"|"71622247"|"30531501"
"p"|"71622246"|"30531499"
"k"|"71622248"|"30531502"
"ss"|"71622248"|"30531503"
"z"|"71622248"|"30531504"
"w"|"71622395"|"30531268"
"k"|"71622396"|"30531269"
"w"|"71622397"|"30531270"
"k"|"71621532"|"30531399"
"k"|"71621533"|"30531401"
"p"|"71621531"|"30531397"
"k"|"71621720"|"30531405"
"k"|"71621721"|"30531407"
"p"|"71621719"|"30531403"
"p"|"71621537"|"30531409"
"k"|"71621538"|"30531411"
"k"|"71621539"|"30531413"
"r"|"71621898"|"30531415"
"r"|"71622537"|"30531680"
"p"|"71622151"|"30531584"
"ss"|"71622152"|"30531587"
"k"|"71622153"|"30531590"
"ss"|"71622153"|"30531593"
"y"|"71622153"|"30531596"
"k"|"71622706"|"30532183"
"ss"|"71622708"|"30532180"
"y"|"71622708"|"30532181"
"k"|"71622708"|"30532182"
"ss"|"71622709"|"30532179"
"t"|"71622604"|"30531618"
"k"|"71622603"|"30531619"
"k"|"71622605"|"30531620"
"k"|"71621678"|"30531694"
"k"|"71621677"|"30531693"
"t"|"71621676"|"30531692"
"k"|"71621675"|"30531691"
"k"|"71621674"|"30531690"
"t"|"71621673"|"30531689"
"p"|"71622271"|"30531621"
"k"|"71622273"|"30531627"
"k"|"71622274"|"30531625"
"k"|"71622272"|"30531623"
"t"|"71622188"|"30531708"
