"SC-SM"|No |"71621933"|"133019244"
"SM"|Yes|"71621933"|"133019245"
"CH"|No |"71621930"|"133019237"
"CL"|Yes|"71621930"|"133019238"
"SC"|No |"71621930"|"133019239"
"CL"|No |"71621931"|"133019240"
"SC"|Yes|"71621931"|"133019241"
"CL"|No |"71621932"|"133019242"
"SC"|Yes|"71621932"|"133019243"
"CH"|No |"71621756"|"133018937"
"CL"|Yes|"71621756"|"133018938"
"SC"|No |"71621756"|"133018939"
"CL"|No |"71621757"|"133018940"
"SC"|Yes|"71621757"|"133018941"
"CL"|No |"71621758"|"133018942"
"SC"|Yes|"71621758"|"133018943"
"SC-SM"|No |"71621759"|"133018944"
"SM"|Yes|"71621759"|"133018945"
"CH"|No |"71621934"|"133019246"
"CL"|Yes|"71621934"|"133019247"
"SC"|No |"71621934"|"133019248"
"CL"|No |"71621935"|"133019249"
"SC"|Yes|"71621935"|"133019250"
"CL"|No |"71621936"|"133019251"
"SC"|Yes|"71621936"|"133019252"
"SM"|Yes|"71621937"|"133019253"
"SC-SM"|No |"71621937"|"133019254"
"CH"|Yes|"71622615"|"133020379"
"CH"|Yes|"71622616"|"133020380"
"CH"|Yes|"71622617"|"133020381"
"CH"|Yes|"71622614"|"133020378"
"CH"|Yes|"71622626"|"133020390"
"CH"|Yes|"71622629"|"133020393"
"CH"|Yes|"71622627"|"133020391"
"CH"|Yes|"71622628"|"133020392"
"CH"|Yes|"71622092"|"133019522"
"CH"|Yes|"71622093"|"133019523"
"CH"|Yes|"71622094"|"133019524"
"CL"|No |"71622094"|"133019525"
"CH"|Yes|"71622095"|"133019526"
"CL"|No |"71622095"|"133019527"
"CH"|Yes|"71622096"|"133019528"
"CH"|Yes|"71622097"|"133019529"
"CH"|Yes|"71622098"|"133019530"
"CH"|Yes|"71622099"|"133019531"
"CH"|Yes|"71622100"|"133019532"
"CH"|Yes|"71622101"|"133019533"
"CL"|No |"71622101"|"133019534"
"CH"|Yes|"71622102"|"133019535"
"CL"|No |"71622102"|"133019536"
"CH"|Yes|"71622103"|"133019537"
"CH"|Yes|"71622104"|"133019538"
"CH"|Yes|"71622105"|"133019539"
"CH"|Yes|"71622510"|"133020221"
"CH"|Yes|"71622509"|"133020220"
"CH"|Yes|"71622508"|"133020219"
"CH"|Yes|"71622293"|"133019883"
"CH"|Yes|"71622295"|"133019885"
"CH"|Yes|"71622294"|"133019884"
"CH"|Yes|"71622429"|"133020110"
"CH"|Yes|"71622430"|"133020111"
"CH"|Yes|"71622431"|"133020112"
"CH"|Yes|"71622250"|"133019797"
"CH"|Yes|"71622251"|"133019798"
"CL"|No |"71622251"|"133019799"
"CH"|Yes|"71622249"|"133019796"
"CH"|Yes|"71622255"|"133019804"
"CH"|Yes|"71622257"|"133019806"
"CL"|No |"71622257"|"133019807"
"CH"|Yes|"71622256"|"133019805"
"CH"|Yes|"71622149"|"133019616"
"GC"|Yes|"71622148"|"133019614"
"CH"|No |"71622148"|"133019615"
"CH"|Yes|"71622150"|"133019617"
"CH"|Yes|"71622247"|"133019794"
"GC"|Yes|"71622246"|"133019792"
"CH"|No |"71622246"|"133019793"
"CH"|Yes|"71622248"|"133019795"
"CH"|Yes|"71621600"|"133018678"
"CH"|Yes|"71621601"|"133018679"
"CH"|Yes|"71621602"|"133018680"
"CL"|Yes|"71621603"|"133018681"
"CL-ML"|No |"71621603"|"133018682"
"CL"|Yes|"71621604"|"133018683"
"CL-ML"|No |"71621604"|"133018684"
"CL"|Yes|"71621957"|"133019294"
"CL-ML"|No |"71621957"|"133019295"
"CL"|Yes|"71621958"|"133019296"
"CL-ML"|No |"71621958"|"133019297"
"CL"|Yes|"71621782"|"133018992"
"CL-ML"|No |"71621782"|"133018993"
"CL"|Yes|"71621781"|"133018990"
"CL-ML"|No |"71621781"|"133018991"
"CH"|Yes|"71622394"|"133020041"
"CL"|No |"71622394"|"133020042"
"CH"|Yes|"71622395"|"133020043"
"CL"|No |"71622395"|"133020044"
"CH"|Yes|"71622396"|"133020045"
"CL"|No |"71622396"|"133020046"
"CH"|Yes|"71622397"|"133020047"
"CL"|No |"71622397"|"133020048"
"CL-ML"|Yes|"71621783"|"133018994"
"CL"|No |"71621783"|"133018995"
"SM"|No |"71621783"|"133018996"
"CL"|Yes|"71621784"|"133018997"
"SC"|No |"71621784"|"133018998"
"SM"|Yes|"71621787"|"133019003"
"SC-SM"|No |"71621787"|"133019004"
"CL"|Yes|"71621785"|"133018999"
"SC"|No |"71621785"|"133019000"
"SM"|Yes|"71621786"|"133019001"
"SC-SM"|No |"71621786"|"133019002"
"CH"|No |"71621532"|"133018558"
"CL"|Yes|"71621532"|"133018559"
"CL"|No |"71621533"|"133018560"
"CH"|Yes|"71621533"|"133018561"
"CH"|Yes|"71621531"|"133018557"
"CH"|No |"71621720"|"133018869"
"CL"|Yes|"71621720"|"133018870"
"CL"|No |"71621721"|"133018871"
"CH"|Yes|"71621721"|"133018872"
"CH"|Yes|"71621719"|"133018868"
"CH"|Yes|"71621537"|"133018567"
"CH"|No |"71621538"|"133018568"
"CL"|Yes|"71621538"|"133018569"
"CL"|No |"71621539"|"133018570"
"CH"|Yes|"71621539"|"133018571"
"CL"|Yes|"71621827"|"133019071"
"CL"|Yes|"71621828"|"133019072"
"CH"|No |"71621828"|"133019073"
"CL"|Yes|"71621829"|"133019074"
"CH"|No |"71621829"|"133019075"
"CL"|Yes|"71622012"|"133019382"
"CH"|No |"71622012"|"133019383"
"CL"|Yes|"71622011"|"133019381"
"CL"|Yes|"71622013"|"133019384"
"CH"|No |"71622013"|"133019385"
"GM"|Yes|"71621960"|"133019299"
"GC-GM"|No |"71621960"|"133019300"
"GP-GM"|No |"71621960"|"133019301"
"CL"|Yes|"71621959"|"133019298"
"CL"|Yes|"71621788"|"133019005"
"GM"|Yes|"71621789"|"133019006"
"GC-GM"|No |"71621789"|"133019007"
"GP-GM"|No |"71621789"|"133019008"
"CL"|Yes|"71621961"|"133019302"
"GC"|No |"71621961"|"133019303"
"SC"|No |"71621961"|"133019304"
"GM"|Yes|"71621962"|"133019305"
"GC-GM"|No |"71621962"|"133019306"
"GP-GM"|No |"71621962"|"133019307"
"CL"|Yes|"71621606"|"133018685"
"CH"|Yes|"71621607"|"133018686"
"CL"|No |"71621607"|"133018687"
"CH"|Yes|"71621608"|"133018688"
"CL"|No |"71621608"|"133018689"
"CH"|Yes|"71621611"|"133018693"
