"Densic contact"|100|114|150|100|114|150|0|0|0|"24093221"|"14505689"
"Densic materials"|100|114|150|125|152|203|25|38|103|"24093221"|"14505688"
"Free carbonates"|0|0|0|125|152|203|125|152|203|"24093221"|"14505683"
"Cambic horizon"|18|46|76|102|147|165|26|101|147|"24093222"|"14505693"
"Secondary carbonates"|18|46|76|102|178|203|26|132|185|"24093222"|"14505694"
"Mollic epipedon"|0|0|0|18|46|76|18|46|76|"24093222"|"14505690"
"Slickensides"|25|46|76|102|147|165|26|101|140|"24093222"|"14505692"
"Densic materials"|102|147|165|127|178|203|25|31|101|"24093222"|"14505695"
"Free carbonates"|0|0|0|125|178|203|125|178|203|"24093222"|"14505691"
"Cambic horizon"|20|33|66|102|147|165|36|114|145|"24093229"|"14505723"
"Secondary carbonates"|20|56|76|102|203|203|26|147|183|"24093229"|"14505726"
"Mollic epipedon"|0|0|0|20|33|66|20|33|66|"24093229"|"14505722"
"Slickensides"|25|33|76|102|147|165|30|114|140|"24093229"|"14505724"
"Densic materials"|102|147|165|127|203|203|25|56|101|"24093229"|"14505727"
"Free carbonates"|0|0|30|203|203|203|173|203|203|"24093229"|"14505725"
"Cambic horizon"|10|15|46|25|203|203|15|188|193|"24093134"|"14505482"
"Calcic horizon"|175|178|203|203|203|203|0|25|28|"24093134"|"14505485"
"Secondary carbonates"|0|0|100|203|203|203|103|203|203|"24093134"|"14505481"
"Mollic epipedon"|0|0|0|10|15|46|10|15|46|"24093134"|"14505486"
"Slickensides"|15|15|50|150|203|203|100|188|188|"24093134"|"14505483"
"Redox concentrations"|0|15|100|150|203|203|150|188|203|"24093134"|"14505484"
"Cambic horizon"|10|15|46|25|203|203|15|188|193|"24092961"|"14505034"
"Calcic horizon"|175|178|203|203|203|203|0|25|28|"24092961"|"14505037"
"Secondary carbonates"|0|0|100|203|203|203|103|203|203|"24092961"|"14505033"
"Mollic epipedon"|0|0|0|10|15|46|10|15|46|"24092961"|"14505032"
"Slickensides"|15|15|50|150|203|203|100|188|188|"24092961"|"14505035"
"Redox concentrations"|0|15|100|150|203|203|150|188|203|"24092961"|"14505036"
"Cambic horizon"|13|38|46|172|203|203|126|165|190|"24093072"|"14505306"
"Secondary carbonates"|0|0|46|172|203|203|126|203|203|"24093072"|"14505304"
"Mollic epipedon"|0|0|0|13|38|46|13|38|46|"24093072"|"14505305"
"Slickensides"|30|38|46|122|163|203|76|125|173|"24093072"|"14505307"
"Densic materials"|122|163|165|172|203|203|25|40|81|"24093072"|"14505308"
"Free carbonates"|0|0|0|203|203|203|203|203|203|"24093072"|"14505303"
"Cambic horizon"|10|15|46|25|203|203|15|188|193|"24093073"|"14505311"
"Calcic horizon"|175|178|203|203|203|203|0|25|28|"24093073"|"14505314"
"Secondary carbonates"|0|0|100|203|203|203|103|203|203|"24093073"|"14505310"
"Mollic epipedon"|0|0|0|10|15|46|10|15|46|"24093073"|"14505309"
"Slickensides"|15|15|50|150|203|203|100|188|188|"24093073"|"14505312"
"Redox concentrations"|0|15|100|150|203|203|150|188|203|"24093073"|"14505313"
