"not used"|"24092778"|"16901689"
"not used"|"24092779"|"16901690"
"not used"|"24092537"|"16901648"
"not used"|"24092538"|"16901649"
"shallow"|"24092434"|"16901636"
"not used"|"24093244"|"16901786"
"shallow"|"24093245"|"16901787"
"not used"|"24093246"|"16901788"
"not used"|"24093043"|"16901740"
"not used"|"24093044"|"16901741"
"not used"|"24093045"|"16901742"
"shallow"|"24093046"|"16901743"
"not used"|"24092686"|"16901676"
"shallow"|"24092687"|"16901677"
"not used"|"24093145"|"16901754"
"not used"|"24093146"|"16901755"
"not used"|"24093147"|"16901756"
"not used"|"24093148"|"16901757"
"shallow"|"24093149"|"16901758"
"not used"|"24092640"|"16901667"
"not used"|"24092641"|"16901668"
"not used"|"24092642"|"16901669"
"not used"|"24092643"|"16901670"
"not used"|"24093141"|"16901750"
"not used"|"24093142"|"16901751"
"not used"|"24093143"|"16901752"
"not used"|"24093144"|"16901753"
"not used"|"24093168"|"16901767"
"not used"|"24093169"|"16901768"
"not used"|"24093170"|"16901769"
"not used"|"24093171"|"16901770"
"not used"|"24093172"|"16901771"
"not used"|"24093173"|"16901772"
"not used"|"24093174"|"16901773"
"not used"|"24093175"|"16901774"
"not used"|"24093342"|"16901795"
"not used"|"24093343"|"16901796"
"not used"|"24093344"|"16901797"
"not used"|"24093345"|"16901798"
"not used"|"24093235"|"16901782"
"shallow"|"24093236"|"16901783"
"not used"|"24093237"|"16901784"
"not used"|"24093239"|"16901785"
"not used"|"24092635"|"16901663"
"not used"|"24092636"|"16901664"
"not used"|"24092637"|"16901665"
"shallow"|"24092638"|"16901666"
"not used"|"24092688"|"16901678"
"not used"|"24092570"|"16901653"
"not used"|"24092435"|"16901637"
"not used"|"24092436"|"16901638"
"not used"|"24092438"|"16901639"
"not used"|"24092440"|"16901640"
"shallow"|"24092677"|"16901674"
"not used"|"24092678"|"16901675"
"not used"|"24092689"|"16901679"
"not used"|"24092571"|"16901654"
"not used"|"24092690"|"16901680"
"not used"|"24093220"|"16901776"
"not used"|"24093221"|"16901777"
"not used"|"24093222"|"16901778"
"not used"|"24093229"|"16901779"
"not used"|"24093230"|"16901780"
"not used"|"24093231"|"16901781"
"not used"|"24092793"|"16901691"
"not used"|"24092795"|"16901692"
"not used"|"24092796"|"16901693"
"not used"|"24092798"|"16901694"
"not used"|"24093132"|"16901747"
"not used"|"24093133"|"16901748"
"not used"|"24093134"|"16901749"
"not used"|"24092960"|"16901729"
"not used"|"24092961"|"16901730"
"not used"|"24092962"|"16901731"
"not used"|"24093072"|"16901744"
"not used"|"24093073"|"16901745"
"not used"|"24093074"|"16901746"
"not used"|"24092911"|"16901712"
"not used"|"24092912"|"16901713"
"not used"|"24092913"|"16901714"
"not used"|"24092914"|"16901715"
"not used"|"24092919"|"16901716"
"not used"|"24092920"|"16901717"
"not used"|"24092921"|"16901718"
"not used"|"24092922"|"16901719"
"not used"|"24092828"|"16901699"
"not used"|"24092829"|"16901700"
"not used"|"24092830"|"16901701"
"not used"|"24092908"|"16901709"
"not used"|"24092909"|"16901710"
"not used"|"24092910"|"16901711"
"not used"|"24092457"|"16901641"
"not used"|"24092458"|"16901642"
"not used"|"24092698"|"16901681"
"not used"|"24092583"|"16901655"
"not used"|"24093039"|"16901736"
"shallow"|"24093040"|"16901737"
"not used"|"24093041"|"16901738"
"not used"|"24093042"|"16901739"
"not used"|"24092584"|"16901656"
"not used"|"24092420"|"16901632"
"not used"|"24092421"|"16901633"
"not used"|"24092541"|"16901650"
"not used"|"24092542"|"16901651"
"not used"|"24092543"|"16901652"
"not used"|"24092424"|"16901634"
"not used"|"24092425"|"16901635"
"not used"|"24092606"|"16901662"
"not used"|"24092729"|"16901688"
"not used"|"24092699"|"16901682"
"not used"|"24092585"|"16901657"
"not used"|"24092700"|"16901683"
"not used"|"24092460"|"16901643"
"not used"|"24092461"|"16901644"
"not used"|"24092462"|"16901645"
"shallow"|"24092666"|"16901671"
"not used"|"24092667"|"16901672"
"shallow"|"24092668"|"16901673"
"shallow"|"24093156"|"16901759"
"not used"|"24093157"|"16901760"
"shallow"|"24093158"|"16901761"
"not used"|"24093333"|"16901791"
"not used"|"24093334"|"16901792"
"not used"|"24093335"|"16901793"
"shallow"|"24093336"|"16901794"
"not used"|"24093035"|"16901732"
"not used"|"24093036"|"16901733"
"not used"|"24093037"|"16901734"
"not used"|"24093038"|"16901735"
"not used"|"24093162"|"16901762"
"not used"|"24093163"|"16901763"
"not used"|"24093164"|"16901764"
"shallow"|"24093166"|"16901765"
"not used"|"24093167"|"16901766"
"shallow"|"24092812"|"16901695"
"not used"|"24092831"|"16901702"
