Product/Consumer Behavior,"Expected Number of
Adults/HHs",Percent,MPI(Market Potential Index)
Used Sinus Congestion/Headache Prescription Drug,1336,0.035,95
Used Obesity/Weight Loss Prescription Drug,732,0.019,128
Used Urinary Tract Infection Prescription Drug,1249,0.033,90
Filled Prescription at Discount/Dept Store/12 Mo,631,0.017,65
Filled Prescription at Drug Store/Pharmacy/12 Mo,16070,0.427,89
Filled Prescription at Grocery Store/12 Mo,3457,0.092,87
Filled Prescription by Mail Order/12 Mo,2678,0.071,65
Filled Prescription Online/12 Mo,631,0.017,63
Received Prescrp Drugs via Home Delivery/12 Mo,4379,0.116,75
Received Prescrp Drugs via Curbside Pickup/12 Mo,1814,0.048,80
Received Prescrp Drugs via In-Store Pickup/12 Mo,16481,0.438,86
Spent $1-9 on Prescription Drugs/30 Days,1358,0.036,48
Spent $10-19 on Prescription Drugs/30 Days,2781,0.074,76
Spent $20-29 on Prescription Drugs/30 Days,1556,0.041,57
Spent $30-49 on Prescription Drugs/30 Days,2561,0.068,89
Spent $50-99 on Prescription Drugs/30 Days,1874,0.05,70
Spent $100-149 on Prescription Drugs/30 Days,1330,0.035,101
Spent $150+ on Prescription Drugs/30 Days,1096,0.029,68
Used Cold/Sinus/Allergy Med (Nonprescrp)/6 Mo,19864,0.528,102
Used Cough Syrup/Suppressant (Nonprescrp)/6 Mo,15798,0.42,130
Used Headache/Pain Reliever (Nonprescrp)/6 Mo,30406,0.808,99
Used Medicated Skin Cream/Lotion/Spray/6 Mo,9393,0.249,92
Used Non-Medicated Nasal Spray/6 Mo,5589,0.148,113
Used Pain Relieving Rub or Liquid or Patch/6 Mo,13234,0.351,123
Used Sleeping Aid or Snore Relief/6 Mo,6039,0.16,109
Used Sore Throat Remedy or Cough Drops/6 Mo,19157,0.509,110
Used Sunburn Remedy/12 Mo,4525,0.12,94
Used Suntan or Sunscreen Prod/12 Mo,12127,0.322,75
Used Toothache/Gum/Canker Sore Remedy/6 Mo,3482,0.093,117
HH Used Children`s Cold Tablets/Liquids/6 Mo,2326,0.144,144
HH Used Children`s Cough Syrup/6 Mo,2148,0.133,157
HH Used Kids Pain Reliever/Fever Reducer/6 Mo,3238,0.2,126
HH Used Kids Vitamins/Nutrition Supplements/6 Mo,2250,0.139,127
Hlth Ad Action: Made Appt to See Doc/12 Mo,4144,0.11,109
Hlth Ad Action: Asked Doc to Prescrb Drug/12 Mo,2010,0.053,132
Hlth Ad Action: Asked for Test/Procedure/12 Mo,608,0.016,123
Hlth Ad Action: Asked Doc for Vaccine/12 Mo,1505,0.04,109
Hlth Ad Action: Consulted Pharmacist/12 Mo,1130,0.03,76
Hlth Ad Action: Refilled Prescrp/12 Mo,3099,0.082,87
Hlth Ad Action: Purchased Non-Prescrp Prod/12 Mo,5286,0.14,127
Hlth Ad Action: Discussed Ad w/Doctor/12 Mo,1637,0.043,107
Hlth Ad Action: Discussed Ad w/Friends/Fam/12 Mo,2154,0.057,134
Hlth Ad Action: Visited Prod/Drug Website/12 Mo,1754,0.047,86
Got Ailment/Drug Info via Doc Office Video/12 Mo,1587,0.042,128
Got Ailment/Drug Info via Friends/Family/12 Mo,4681,0.124,123
Got Ailment/Drug Info via Hlth Website/App/12 Mo,4043,0.107,69
Got Ailment/Drug Info via Oth Website/App/12 Mo,2277,0.06,77
Got Ailment/Drug Info via Magazine Ad/12 Mo,955,0.025,106
Got Ailment/Drug Info via Medical Journal/12 Mo,574,0.015,63
Got Ailment/Drug Info via Pamphlet/Broch/12 Mo,1029,0.027,67
Got Ailment/Drug Info via Medical Prof/12 Mo,16303,0.433,87
Got Ailment/Drug Info via Pharmacist/12 Mo,2506,0.067,74
Got Ailment/Drug Info via Social Media/12 Mo,3493,0.093,143
Got Ailment/Drug Info via Streaming Vid Ad/12 Mo,2257,0.06,133
Got Ailment/Drug Info via TV Ad/12 Mo,6213,0.165,144
Used Body Wash or Shower Gel/6 Mo,26468,0.703,109
Used Breath Freshener/6 Mo,15742,0.418,121
Used Gum Breath Freshener/6 Mo,10976,0.291,141
Used Mints Breath Freshener/6 Mo,5371,0.143,93
Used Thin Film Breath Freshener/6 Mo,965,0.026,118
Used Complexion Care Prod/6 Mo,22824,0.606,112
Used Denture Adhesive or Fixative/6 Mo,2539,0.067,165
Used Denture Cleaner/6 Mo,3316,0.088,122
Used Eyeliner/Eyebrow Pencil/6 Mo,10548,0.28,107
Used Facial Moisturizer/6 Mo,21094,0.56,109
Used Personal Foot Care Prod/6 Mo,10225,0.272,146
Used Hair Coloring Prod at Home/6 Mo,10290,0.273,159
Used Hair Conditioning Treatment at Home/6 Mo,14661,0.389,143
Used Hair Growth Prod/6 Mo,2032,0.054,133
Used Hair Spray at Home/6 Mo,9418,0.25,98
Used Hair Styling Gel/Lotion/Mousse/6 Mo,17097,0.454,120
Used Mouthwash/6 Mo,28822,0.765,117
Used Mouthwash 8+ Times/7 Days,9255,0.246,144
Used Sensitive Toothpaste/6 Mo,7107,0.189,91
Used Whitening Toothpaste/6 Mo,15860,0.421,109
Used Tooth Whitener (Not Toothpaste)/6 Mo,4022,0.107,105
Used Tooth Whitener (Gel)/6 Mo,772,0.02,106
Used Tooth Whitener (Strips)/6 Mo,1963,0.052,93
Visited Day Spa/6 Mo,1320,0.035,70
Purchased Prod at Salon or Day Spa/6 Mo,706,0.019,50
Used Prof Service for Haircut/6 Mo,20038,0.532,89
Used Prof Svc for Hair Color/Highlights/6 Mo,3875,0.103,71
Used Prof Service for Facial/6 Mo,1533,0.041,136
Used Prof Service for Massage/6 Mo,2081,0.055,70
Used Prof Service for Manicure/6 Mo,4914,0.131,111
Used Prof Service for Pedicure/6 Mo,5446,0.145,96
Used Prof Service for Waxing/6 Mo,1798,0.048,100
Spent $1-99 at Barber Shop/6 Mo,4903,0.13,96
Spent $100+ at Barber Shop/6 Mo,3003,0.08,81
Spent $1-99 at Beauty Salon/6 Mo,4317,0.115,107
Spent $100+ at Beauty Salon/6 Mo,5044,0.134,66
