# ----------------------------------------
# SACRD.org v2 - GA4
# Portal Events-Portals
# 20260101-20260131
# ----------------------------------------

,,,Segment,Is US Portal,Totals
URL,Search,Entity type,Entity ID,Event count,Event count
https://www.sacrd.org/portal/housingservices/?zipcode=78207&lat=29.42364&lng=-98.48647&gp=hsp_master,?zipcode=78207&lat=29.42364&lng=-98.48647&gp=hsp_masterselector&a=302,guideme,-,10,10
https://www.sacrd.org/portal/housingservices/?zipcode=78251&lat=29.42364&lng=-98.48647&gp=hsp_master,?zipcode=78251&lat=29.42364&lng=-98.48647&gp=hsp_masterselector&a=302,attribute,302,10,10
https://sacrd.org/portal/housingservices/?zipcode=78205&lat=29.42364&lng=-98.48647&gp=mainPage&a=302,"?zipcode=78205&lat=29.42364&lng=-98.48647&gp=mainPage&a=302,317",attribute,317,9,9
https://www.sacrd.org/portal/housingservices/?zipcode=78228&lat=29.42364&lng=-98.48647&gp=hsp_master,?zipcode=78228&lat=29.42364&lng=-98.48647&gp=hsp_masterselector&a=303,attribute,303,9,9
https://www.sacrd.org/portal/housingservices/?zipcode=78228&lat=29.42364&lng=-98.48647&gp=hsp_master,?zipcode=78228&lat=29.42364&lng=-98.48647&gp=hsp_masterselector&a=303,guideme,-,9,9
https://www.sacrd.org/portal/housingservices/?zipcode=78251&lat=29.42364&lng=-98.48647&gp=hsp_master,?zipcode=78251&lat=29.42364&lng=-98.48647&gp=hsp_masterselector&a=302,guideme,-,9,9
https://www.sacrd.org/portal/housingservices/?zipcode=78251&lat=29.42364&lng=-98.48647&gp=hsp_master,?zipcode=78251&lat=29.42364&lng=-98.48647&gp=hsp_masterselector&a=303,guideme,-,9,9
https://www.sacrd.org/portal/housingservices/?zipcode=78251&lat=29.42364&lng=-98.48647&gp=hsp_needhe,?zipcode=78251&lat=29.42364&lng=-98.48647&gp=hsp_needhelpwith&a=302&nhw=3,guideme,-,9,9
https://www.sacrd.org/portal/sadigitalconnects/?zipcode=78205&lat=29.42364&lng=-98.48647&gp=mainPage,?zipcode=78205&lat=29.42364&lng=-98.48647&gp=mainPage&a=291,attribute,291,9,9
https://sacrd.org/housingservices/?gp=hsp_startingpage&zipcode=78205&lat=29.42364&lng=-98.48647,?gp=hsp_startingpage&zipcode=78205&lat=29.42364&lng=-98.48647,guideme,-,8,8
