id,name,portal
361,"Furniture",Housing Services
428,"Home Repairs - Minor",Housing Services
342,"Accessibility Modifications",Housing Services
362,"Household Items",Housing Services
368,"Short-term Storage",Housing Services
397,"Spanish",Housing Services
363,"Appliances - Major",Housing Services
371,"Help Packing/Unpacking - Free",Housing Services
398,"Languages other than English and Spanish",Housing Services
429,"Safety - Fire Prevention",Housing Services
360,"Appliances - Small",Housing Services
434,"Help Packing/Unpacking - For a Fee",Housing Services
430,"Safety - Fall Reduction",Housing Services
954,"Advocacy",Older Adults
356,"Code Compliance",Housing Services
956,"Controlled Substance Disposal",Substance Use
930,"Donation Encouraged",Substance Use
373,"Help Moving - Free",Housing Services
349,"Electrical",Housing Services
435,"Help Moving - For a Fee",Housing Services
348,"Plumbing",Housing Services
369,"Removal and Disposal - Free",Housing Services
353,"Heating and Cooling",Housing Services
372,"Removal and Disposal - For a Fee",Housing Services
937,"Court-Ordered Treatment",Substance Use
344,"Weatherization",Housing Services
149,"Admin Fee",Housing Finder
166,"Broken Lease",Housing Finder
182,"Bus Maps Link",Housing Finder
250,"Free Food",Big Bend Regional Resource Directory
141,"Inside 410",Housing Finder
191,"Management Company",Housing Finder
133,"Northeast",Housing Finder
750,"Academic Support & Tutoring",IDD and Disability Support
869,"Accessibility Modifications",Older Adults
892,"Accessibility Modifications",Older Adults
682,"Accessible",Substance Use
711,"Accessible Spaces",IDD and Disability Support
835,"Accessible Transportation",Older Adults
780,"Accessible Vehicle Modification",IDD and Disability Support
701,"Active Duty Military",Substance Use
775,"Adapted Entertainment & Activities",IDD and Disability Support
760,"Adapted Sports & Recreation",IDD and Disability Support
730,"Adaptive Clothing & Products",IDD and Disability Support
856,"Adult Day Care",Older Adults
636,"Adult Education",Hill Country Resources
688,"Adults (25+)",Substance Use
614,"Advocacy and Legal Aid",Hill Country Resources
667,"Al-Anon/Alateen",Substance Use
576,"All Bills Paid",Housing Services
180,"Assisted Living",Housing Finder
899,"Basic Computer & Internet Skills",Older Adults
842,"Benefit Assistance",Older Adults
713,"Benefits Navigation",IDD and Disability Support
735,"Benefits Navigation",IDD and Disability Support
784,"Blind & Visually Impaired",IDD and Disability Support
909,"Caregiver of Parent(s) or Other Family",Older Adults
813,"Caregiver Support Groups",Older Adults
740,"Caregiver Support Groups",IDD and Disability Support
608,"Child and Family Protection",Hill Country Resources
589,"Clothing",Hill Country Resources
818,"Community Events & Outings",Older Adults
851,"Community Meals",Older Adults
648,"Community Presentations & Training",Substance Use
655,"Court-Ordered Screening",Substance Use
663,"Crisis Hotlines",Substance Use
745,"Day Habilitation",IDD and Disability Support
678,"Detox",Substance Use
726,"Developmental Screenings",IDD and Disability Support
772,"Disability Awareness Training",IDD and Disability Support
658,"Dual Diagnosis Treatment Programs",Substance Use
111,"Efficiency",Housing Finder
620,"Emergency Care",Hill Country Resources
322,"Emergency Shelter",Housing Services
767,"Emergency Shelters",IDD and Disability Support
840,"Encore Career Guidance",Older Adults
10,"English",Mental Healthcare Portal
829,"Estate Planning",Older Adults
902,"Faith-based Volunteering",Older Adults
651,"Family Counseling",Substance Use
665,"Family Intervention Education & Coaching",Substance Use
515,"For Prospective Homeowners",Housing Services
503,"For Renters",Housing Services
694,"Free",Substance Use
802,"Free",IDD and Disability Support
921,"Free",Older Adults
592,"Help Find Housing",Hill Country Resources
303,"Homeless",Housing Services
468,"ID Recovery",Housing Services
475,"Income",Housing Services
792,"Infants & Toddlers",IDD and Disability Support
672,"Job Placement Assistance",Substance Use
549,"Man",Mental Healthcare Portal
558,"Man",Mental Healthcare Portal
660,"Naloxone Supplies and Training",Substance Use
642,"Network Opportunities",Hill Country Resources
755,"On-the-Job Support",IDD and Disability Support
631,"Preschool",Hill Country Resources
605,"Rehabilitation",Hill Country Resources
477,"Single Adult - Male",Housing Services
676,"Sober Living",Substance Use
799,"Spanish",IDD and Disability Support
918,"Spanish",Older Adults
431,"Structural Repairs - Foundation",Housing Services
284,"Vision Care",Big Bend Regional Resource Directory
640,"Workforce Readiness",Hill Country Resources
346,"Structural Repairs - Roof",Housing Services
432,"Structural Repairs - Siding",Housing Services
350,"Structural Repairs - Flooring",Housing Services
351,"Structural Repairs - Windows and Doors",Housing Services
943,"Assistive Technology (AT)",Older Adults
931,"Court-Ordered Education",Substance Use
433,"Drainage",Housing Services
540,"Interior Update and Repairs",Housing Services
541,"Major Appliance Repair and Installation",Housing Services
355,"Tree and Landscape Assistance",Housing Services
345,"Pest Control",Housing Services
134,"East",Housing Finder
167,"Eviction",Housing Finder
153,"Market Rate",Housing Finder
142,"Outside 410 but Inside 1604",Housing Finder
196,"Stories",Housing Finder
113,"1BR",Housing Finder
712,"Accessible Travel Resources",IDD and Disability Support
887,"Activities of Daily Living (ADLs)",Older Adults
751,"Adult Basic & Ongoing Education (ABOE)",IDD and Disability Support
870,"Aging in Place",Older Adults
668,"Alcoholics Anonymous",Substance Use
776,"Arts",IDD and Disability Support
683,"ASL",Substance Use
800,"ASL",IDD and Disability Support
919,"ASL",Older Adults
731,"Assistive Technology (AT)",IDD and Disability Support
814,"Caregiver Training",Older Adults
741,"Caregiver Training & Mentoring",IDD and Disability Support
632,"Childcare",Hill Country Resources
794,"Children",IDD and Disability Support
689,"Children (<13)",Substance Use
843,"Connectivity Assistance",Older Adults
785,"Deaf & Hard of Hearing",IDD and Disability Support
857,"Dementia Education & Training",Older Adults
727,"Diagnostic Evaluations",IDD and Disability Support
714,"Disability Rights Information & Training",IDD and Disability Support
358,"Disaster cleanup",Housing Services
893,"Durable Medical Equipment (DME)",Older Adults
773,"Employee Accommodation Guidance",IDD and Disability Support
656,"Employment Screening",Substance Use
841,"Encore Career Training",Older Adults
611,"End of Life Services",Hill Country Resources
830,"Eviction Prevention",Older Adults
819,"Exercise & Fitness",Older Adults
702,"Experiencing Homelessness",Substance Use
852,"Food Pantries",Older Adults
520,"For Homeowners",Housing Services
504,"For Prospective Homeowner",Housing Services
903,"Friendly Visitor Programs",Older Adults
768,"Group Homes & Supervised Living",IDD and Disability Support
652,"Group Therapy and Counseling",Substance Use
609,"Help Escaping Violence",Hill Country Resources
641,"Help Finding Work",Hill Country Resources
593,"Help Pay for Housing",Hill Country Resources
746,"Homemaking Assistance",IDD and Disability Support
590,"Household Goods",Hill Country Resources
420,"Housing Counseling",Housing Services
615,"Immigration Services",Hill Country Resources
761,"In-Home Skilled Care",IDD and Disability Support
473,"Income",Housing Services
577,"Income Based",Housing Services
659,"Integrated Screening and Assessment",Substance Use
666,"Intervention Professionals",Substance Use
673,"Job Readiness and Resume Support",Substance Use
559,"LGBTQ+",Mental Healthcare Portal
695,"Medicaid",Substance Use
803,"Medicaid",IDD and Disability Support
922,"Medicaid",Older Adults
836,"Medical Transportation",Older Adults
679,"Medication Assisted Treatment (MAT)",Substance Use
900,"Mobile Device & App Training",Older Adults
316,"Mortgage Assistance",Housing Services
283,"Nutrition Education",Big Bend Regional Resource Directory
661,"Overdose Prevention Education",Substance Use
781,"Paratransit Services",IDD and Disability Support
649,"Parent & Family Education",Substance Use
664,"Peer Operated Hotlines",Substance Use
604,"Peer Support Groups",Hill Country Resources
756,"Pre-Vocational Training",IDD and Disability Support
302,"Renter",Housing Services
478,"Single Adult - Female",Housing Services
11,"Spanish",Mental Healthcare Portal
677,"Supportive Housing",Substance Use
323,"Temporary Shelter",Housing Services
550,"Transgender Woman",Mental Healthcare Portal
599,"Urgent Care",Hill Country Resources
643,"Volunteer and Support Opportunities",Hill Country Resources
176,"Wheelchair Accessible",Housing Finder
935,"Mental Health Diagnosis",IDD and Disability Support
811,"Charitable Funding",IDD and Disability Support
951,"Final Arrangements",Older Adults
521,"Student Housing",Housing Finder
547,"Weather Relief",Housing Services
936,"Medical Diagnosis",IDD and Disability Support
168,"Foreclosure",Housing Finder
143,"Outside 1604",Housing Finder
145,"Risk Fee",Housing Finder
154,"SARAH PLACE",Housing Finder
146,"Security Deposit",Housing Finder
135,"Southeast",Housing Finder
105,"Units",Housing Finder
112,"1BR",Housing Finder
871,"Affordable Housing Assistance",Older Adults
289,"ASL",Mental Healthcare Portal
612,"Bereavement and Grief",Hill Country Resources
777,"Camps",IDD and Disability Support
479,"Childless Couple",Housing Services
633,"Children's Programs",Hill Country Resources
911,"Cognitively Impaired",Older Adults
732,"Communication Devices (AAC)",IDD and Disability Support
888,"Companion Care",Older Adults
815,"Dementia Education & Training",Older Adults
858,"Dental Care",Older Adults
786,"Disabled Individuals Experiencing Homelessness",IDD and Disability Support
728,"Early Childhood Intervention (ECI)",IDD and Disability Support
616,"Educational Support and Training",Hill Country Resources
894,"Elder Abuse Prevention",Older Adults
684,"Evening or Weekend Hours",Substance Use
669,"Faith-Based Groups",Substance Use
820,"Faith-Based Peer Groups",Older Adults
844,"Financial Counseling & Planning",Older Adults
737,"Financial Literacy & Money Management",IDD and Disability Support
