# ----------------------------------------
# SACRD.org v2 - GA4
# Portal Events-Portals
# 20251201-20251231
# ----------------------------------------

,,,Segment,Is US Portal,Totals
URL,Search,Entity type,Entity ID,Event count,Event count
,,,,9298,9298,Grand total
https://www.sacrd.org/portal/housingservices/?gp=hsp_startingpage,?gp=hsp_startingpage,guideme,-,205,205
https://sacrd.org/portal/housingservices/?gp=hsp_startingpage,?gp=hsp_startingpage,guideme,-,149,149
https://www.sacrd.org/portal/housingservices/?zipcode=78205&lat=29.42364&lng=-98.48647&gp=hsp_starti,?zipcode=78205&lat=29.42364&lng=-98.48647&gp=hsp_startingpage,guideme,-,128,128
https://sacrd.org/portal/housingservices/?zipcode=78205&lat=29.42364&lng=-98.48647&gp=hsp_startingpa,?zipcode=78205&lat=29.42364&lng=-98.48647&gp=hsp_startingpage,guideme,-,93,93
https://www.sacrd.org/portal/housingservices/?gp=mainPage&a=302,?gp=mainPage&a=302,attribute,302,46,46
https://sacrd.org/portal/housingservices/?gp=mainPage&a=302,?gp=mainPage&a=302,attribute,302,36,36
https://www.sacrd.org/portal/housingservices/?gp=mainPage&a=303,?gp=mainPage&a=303,attribute,303,35,35
https://www.sacrd.org/portal/mhp/?zipcode=78205&lat=29.42364&lng=-98.48647&gp=mhp_start,?zipcode=78205&lat=29.42364&lng=-98.48647&gp=mhp_start,guideme,-,32,32
https://www.sacrd.org/portal/housingservices/?gp=mainPage&a=315,?gp=mainPage&a=315,attribute,315,27,27
https://www.sacrd.org/portal/housingservices/?zipcode=78205&lat=29.42364&lng=-98.48647&gp=mainPage&a,?zipcode=78205&lat=29.42364&lng=-98.48647&gp=mainPage&a=302,attribute,302,25,25
https://sacrd.org/portal/mhp/?gp=mhp_start,?gp=mhp_start,guideme,-,23,23
https://www.sacrd.org/portal/housingservices/?zipcode=78205&lat=29.42364&lng=-98.48647&gp=mainPage&a,?zipcode=78205&lat=29.42364&lng=-98.48647&gp=mainPage&a=303,attribute,303,22,22
"https://www.sacrd.org/portal/housingservices/?gp=mainPage&a=302,315","?gp=mainPage&a=302,315",attribute,315,21,21
https://sacrd.org/portal/mhp/?zipcode=78205&lat=29.42364&lng=-98.48647&gp=mhp_start,?zipcode=78205&lat=29.42364&lng=-98.48647&gp=mhp_start,guideme,-,19,19
https://sacrd.org/portal/housingservices/?gp=mainPage&a=303,?gp=mainPage&a=303,attribute,303,16,16
https://sacrd.org/portal/housingservices/?zipcode=78205&lat=29.42364&lng=-98.48647&gp=mainPage&a=302,?zipcode=78205&lat=29.42364&lng=-98.48647&gp=mainPage&a=302,attribute,302,16,16
https://sacrd.org/portal/housingservices/?zipcode=78205&lat=29.42364&lng=-98.48647&gp=mainPage&a=303,?zipcode=78205&lat=29.42364&lng=-98.48647&gp=mainPage&a=303,attribute,303,16,16
"https://sacrd.org/portal/housingservices/?gp=mainPage&a=302,315","?gp=mainPage&a=302,315",attribute,315,15,15
https://sacrd.org/portal/housingservices/?gp=mainPage&a=315,?gp=mainPage&a=315,attribute,315,15,15
https://sacrd.org/portal/disabilitysupport/?gp=idd_start,?gp=idd_start,guideme,-,14,14
https://www.sacrd.org/portal/mhp/?gp=mhp_start,?gp=mhp_start,guideme,-,14,14
https://sacrd.org/housingservices/?gp=hsp_startingpage,?gp=hsp_startingpage,guideme,-,13,13
