# ----------------------------------------
# SACRD.org v2 - GA4
# Page View Events-Page Views
# 20250901-20250930
# ----------------------------------------

,Segment,Is page view,Totals
Page location,Page referrer,Event count,Event count
https://www.sacrd.org/directory/organization/1506,https://www.google.com/,75,75
https://www.sacrd.org/directory/program/1898,https://www.sacrd.org/directory/program/1898,75,75
https://www.sacrd.org/directory/program/30,https://www.google.com/,75,75
https://www.sacrd.org/directory/organization/2454,https://www.google.com/,74,74
https://sacrd.org/login,https://sacrd.org/directory/,73,73
https://sacrd.org/directory/subcategory/food-pantry,https://sacrd.org/directory/,72,72
https://sacrd.org/directory/subcategory/help-pay-for-housing,https://sacrd.org/directory/program/16900,71,71
https://www.sacrd.org/directory/program/32,https://www.google.com/,71,71
https://www.sacrd.org/directory/program/13545,https://www.sacrd.org/directory/,70,70
https://www.sacrd.org/directory/program/63,https://www.google.com/,70,70
https://sacrd.org/directory/program/18962,https://sacrd.org/directory/subcategory/help-pay-for-housing,69,69
https://www.sacrd.org/directory/subcategory/food-pantry?zipcode=78223,https://www.google.com/,69,69
https://www.sacrd.org/es/directory/program/12336,https://www.google.com/,68,68
https://www.sacrd.org/directory/program/16713,https://www.google.com/,67,67
https://www.sacrd.org/directory/program/243,https://www.google.com/,67,67
https://sacrd.org/directory/,https://bexargov.sharepoint.com/,66,66
https://www.sacrd.org/directory/program/4759,https://www.google.com/,66,66
https://www.sacrd.org/directory/program/818,https://www.google.com/,65,65
https://www.sacrd.org/directory/subcategory/food-pantry?zipcode=78201,https://www.google.com/,64,64
https://www.sacrd.org/directory/program/11343,https://www.google.com/,63,63
https://www.sacrd.org/directory/program/9057,https://www.sacrd.org/directory/subcategory/food-pantry,63,63
https://www.sacrd.org/directory/subcategory/identification-recovery,https://www.google.com/,63,63
https://www.sacrd.org/directory/organization/1602,https://www.google.com/,62,62
https://www.sacrd.org/directory/program/10686,https://www.google.com/,62,62
https://www.sacrd.org/directory/organization/1335,https://www.sacrd.org/directory/program/1898,61,61
https://www.sacrd.org/directory/program/15016,https://www.google.com/,61,61
https://www.sacrd.org/directory/program/18213,https://www.google.com/,61,61
https://www.sacrd.org/directory/subcategory/free-meals,https://www.google.com/,61,61
https://www.sacrd.org/directory/subcategory/help-pay-for-utilities,,61,61
https://sacrd.org/directory/subcategory/help-pay-for-housing,,60,60
https://www.sacrd.org/directory/program/388,https://www.google.com/,60,60
https://www.sacrd.org/directory/program/5682,https://www.google.com/,60,60
https://www.sacrd.org/directory/program/13075,https://www.google.com/,59,59
https://sacrd.org/directory/organization/1982,https://sacrd.org/directory/,58,58
https://www.sacrd.org/directory/organization/1452,https://www.google.com/,58,58
https://hillcountryresources.org/?gp=mainPage,,57,57
https://www.sacrd.org/directory/organization/3546,https://www.sacrd.org/directory/program/16900,57,57
https://www.sacrd.org/directory/program/1000,https://www.google.com/,57,57
https://www.sacrd.org/directory/program/12185,,57,57
https://www.sacrd.org/directory/program/13017,https://www.google.com/,57,57
https://www.sacrd.org/directory/program/16012,https://www.google.com/,57,57
https://www.sacrd.org/directory/program/5910,https://www.google.com/,57,57
https://www.sacrd.org/directory/program/5911,https://www.google.com/,57,57
https://www.sacrd.org/directory/subcategory/baby-supplies,https://www.google.com/,57,57
https://www.sacrd.org/portal/westcaretx/,https://www.sacrd.org/directory/,57,57
https://www.sacrd.org/directory/organization/1584,https://www.bing.com/,56,56
https://www.sacrd.org/directory/program/10870,https://www.google.com/,56,56
https://www.sacrd.org/directory/program/826,https://www.google.com/,56,56
https://www.sacrd.org/directory/organization/3090,https://www.google.com/,55,55
https://www.sacrd.org/directory/program/102,https://www.google.com/,55,55
https://sacrd.org/portal/westcaretx/,https://sacrd.org/directory/,54,54
https://www.sacrd.org/directory/program/14191,https://www.google.com/,54,54
https://www.sacrd.org/directory/program/232,https://www.google.com/,54,54
https://www.sacrd.org/directory/program/6852,https://www.google.com/,54,54
https://www.sacrd.org/portal/sadigitalconnects/,https://www.sacrd.org/directory/,54,54
https://www.sacrd.org/directory/program/16453,https://www.google.com/,53,53
https://www.sacrd.org/directory/program/4049,https://www.google.com/,53,53
https://www.sacrd.org/es/directory/subcategory/food-pantry?zipcode=78205&page=3,https://www.google.com/,53,53
https://sacrd.org/directory/subcategory/help-find-housing,https://sacrd.org/directory/,52,52
https://sacrd.org/directory/subcategory/help-pay-for-housing,https://sacrd.org/directory/,52,52
https://www.sacrd.org/directory/program/1898,,52,52
https://www.sacrd.org/directory/program/5673,https://www.google.com/,52,52
https://www.sacrd.org/directory/program/5682,https://www.sacrd.org/directory/program/5682,52,52
https://www.sacrd.org/directory/subcategory/help-pay-for-utilities,https://www.sacrd.org/directory/program/1898,52,52
