# ----------------------------------------
# SACRD.org v2 - GA4
# Portal Events-Portals
# 20250301-20250331
# ----------------------------------------

,,,Segment,Is portal,Totals
URL,Search,Entity type,Entity ID,Event count,Event count
,,,,16718,16718,Grand total
https://sacrd.org/portal/housingservices/?gp=hsp_startingpage,?gp=hsp_startingpage,guideme,-,667,667
https://www.sacrd.org/portal/housingservices/?gp=hsp_startingpage,?gp=hsp_startingpage,guideme,-,638,638
https://sacrd.org/portal/housingservices/?gp=mainPage&a=302,?gp=mainPage&a=302,attribute,302,102,102
https://www.sacrd.org/portal/mhp/?gp=mhp_start,?gp=mhp_start,guideme,-,96,96
https://sacrd.org/portal/housingservices/?gp=mainPage&a=303,?gp=mainPage&a=303,attribute,303,90,90
https://sacrd.org/housingservices/?gp=hsp_startingpage,?gp=hsp_startingpage,guideme,-,87,87
https://www.sacrd.org/portal/housingservices/?gp=mainPage&a=302,?gp=mainPage&a=302,attribute,302,83,83
https://www.sacrd.org/portal/housingservices/?gp=mainPage&a=303,?gp=mainPage&a=303,attribute,303,79,79
https://sacrd.org/portal/mhp/?gp=mhp_start,?gp=mhp_start,guideme,-,76,76
"https://sacrd.org/portal/housingservices/?gp=mainPage&a=302,315","?gp=mainPage&a=302,315",attribute,315,45,45
https://sacrd.org/portal/housingservices/?gp=mainPage&a=317,?gp=mainPage&a=317,attribute,317,41,41
https://www.sacrd.org/MentalHealth/?gp=mhp_start,?gp=mhp_start,guideme,-,40,40
https://sacrd.org/portal/housingservices/?gp=mainPage&a=315,?gp=mainPage&a=315,attribute,315,38,38
https://sacrd.org/MentalHealth/?gp=mhp_start,?gp=mhp_start,guideme,-,36,36
https://www.sacrd.org/portal/housingservices/?gp=mainPage&a=315,?gp=mainPage&a=315,attribute,315,36,36
"https://www.sacrd.org/portal/housingservices/?gp=mainPage&a=302,315","?gp=mainPage&a=302,315",attribute,315,26,26
https://www.sacrd.org/portal/housingservices/?gp=hsp_masterselector&zipcode=78205&a=303,?gp=hsp_masterselector&zipcode=78205&a=303,attribute,303,25,25
"https://www.sacrd.org/portal/housingservices/?gp=mainPage&a=302,304","?gp=mainPage&a=302,304",attribute,304,25,25
https://www.sacrd.org/portal/housingservices/?gp=hsp_masterselector&zipcode=78205&a=303,?gp=hsp_masterselector&zipcode=78205&a=303,guideme,-,24,24
https://sacrd.org/portal/housingservices/?gp=mainPage&a=304,?gp=mainPage&a=304,attribute,304,23,23
https://www.sacrd.org/es/portal/housingservices/?gp=hsp_startingpage,?gp=hsp_startingpage,guideme,-,21,21
https://www.sacrd.org/housingservices/?gp=hsp_startingpage,?gp=hsp_startingpage,guideme,-,21,21
https://sacrd.org/portal/housingservices/?gp=hsp_masterselector&zipcode=78230&a=302,?gp=hsp_masterselector&zipcode=78230&a=302,attribute,302,20,20
https://sacrd.org/portal/housingservices/?gp=hsp_masterselector&zipcode=78205&a=303,?gp=hsp_masterselector&zipcode=78205&a=303,attribute,303,19,19
https://www.sacrd.org/portal/housingservices/?gp=mainPage,?gp=mainPage,clear,-,19,19
https://sacrd.org/portal/housingservices/?gp=hsp_masterselector&zipcode=78214&a=302,?gp=hsp_masterselector&zipcode=78214&a=302,attribute,302,18,18
https://sacrd.org/portal/housingservices/?gp=hsp_masterselector&zipcode=78214&a=302,?gp=hsp_masterselector&zipcode=78214&a=302,guideme,-,18,18
https://sacrd.org/portal/housingservices/?gp=hsp_masterselector&zipcode=78230&a=302,?gp=hsp_masterselector&zipcode=78230&a=302,guideme,-,18,18
https://sacrd.org/portal/housingservices/?gp=hsp_notesPage,?gp=hsp_notesPage,guideme,-,18,18
https://www.sacrd.org/portal/housingservices/?gp=hsp_notesPage,?gp=hsp_notesPage,guideme,-,18,18
https://sacrd.org/portal/housingservices/?gp=hsp_masterselector&zipcode=78221&a=302,?gp=hsp_masterselector&zipcode=78221&a=302,attribute,302,17,17
https://sacrd.org/portal/housingservices/?gp=hsp_masterselector&zipcode=78221&a=302,?gp=hsp_masterselector&zipcode=78221&a=302,guideme,-,17,17
https://sacrd.org/portal/housingservices/?gp=hsp_masterselector&zipcode=78240&a=302,?gp=hsp_masterselector&zipcode=78240&a=302,attribute,302,17,17
https://sacrd.org/portal/housingservices/?gp=mainPage,?gp=mainPage,clear,-,17,17
https://www.sacrd.org/portal/mhp/?gp=mainPage&a=102,?gp=mainPage&a=102,attribute,102,17,17
https://comalcares.org/portal/housingservices/?gp=hsp_startingpage,?gp=hsp_startingpage,guideme,-,16,16
https://comalcares.org/portal/mhp/?gp=mhp_start,?gp=mhp_start,guideme,-,16,16
https://sacrd.org/portal/housingservices/?gp=hsp_masterselector&zipcode=78205&a=303,?gp=hsp_masterselector&zipcode=78205&a=303,guideme,-,16,16
https://sacrd.org/portal/housingservices/?gp=hsp_masterselector&zipcode=78223&a=302,?gp=hsp_masterselector&zipcode=78223&a=302,attribute,302,16,16
https://www.sacrd.org/MentalHealth/?zip=76701&gp=mhp_start,?zip=76701&gp=mhp_start,guideme,-,16,16
https://www.sacrd.org/portal/housingservices/?gp=mainPage&a=304,?gp=mainPage&a=304,attribute,304,16,16
https://sacrd.org/portal/housingservices/?gp=hsp_masterselector&zipcode=78205&a=302,?gp=hsp_masterselector&zipcode=78205&a=302,attribute,302,15,15
https://sacrd.org/portal/housingservices/?gp=hsp_masterselector&zipcode=78223&a=302,?gp=hsp_masterselector&zipcode=78223&a=302,guideme,-,15,15
https://sacrd.org/portal/housingservices/?gp=mainPage&a=301,?gp=mainPage&a=301,attribute,301,15,15
https://sacrd.org/portal/sadigitalconnects/?gp=mainPage&a=291,?gp=mainPage&a=291,attribute,291,15,15
https://www.sacrd.org/portal/housingservices/?gp=hsp_needhelpwith&zipcode=78205&a=303,?gp=hsp_needhelpwith&zipcode=78205&a=303,guideme,-,15,15
https://sacrd.org/portal/housingservices/?gp=hsp_masterselector&zipcode=78205&a=302,?gp=hsp_masterselector&zipcode=78205&a=302,guideme,-,14,14
https://sacrd.org/portal/housingservices/?gp=hsp_masterselector&zipcode=78240&a=302,?gp=hsp_masterselector&zipcode=78240&a=302,guideme,-,14,14
"https://sacrd.org/portal/housingservices/?gp=mainPage&a=303,304","?gp=mainPage&a=303,304",attribute,304,14,14
https://www.sacrd.org/portal/housingservices/?gp=hsp_masterselector&zipcode=78240&a=302,?gp=hsp_masterselector&zipcode=78240&a=302,attribute,302,14,14
https://www.sacrd.org/portal/housingservices/?gp=hsp_masterselector&zipcode=78245&a=302,?gp=hsp_masterselector&zipcode=78245&a=302,attribute,302,14,14
https://sacrd.org/portal/housingservices/?gp=hsp_masterselector&zipcode=78212&a=302,?gp=hsp_masterselector&zipcode=78212&a=302,attribute,302,13,13
https://sacrd.org/portal/housingservices/?gp=hsp_masterselector&zipcode=78212&a=302,?gp=hsp_masterselector&zipcode=78212&a=302,guideme,-,13,13
https://sacrd.org/portal/housingservices/?gp=hsp_needhelpwith&zipcode=78214&a=302&nhw=3,?gp=hsp_needhelpwith&zipcode=78214&a=302&nhw=3,guideme,-,13,13
"https://sacrd.org/portal/housingservices/?gp=mainPage&a=302,304","?gp=mainPage&a=302,304",attribute,304,13,13
https://sacrd.org/portal/sadigitalconnects/?gp=mainPage&a=299,?gp=mainPage&a=299,attribute,299,13,13
https://www.sacrd.org/portal/housingservices/?gp=hsp_masterselector&zipcode=78201&a=302,?gp=hsp_masterselector&zipcode=78201&a=302,attribute,302,13,13
https://www.sacrd.org/portal/housingservices/?gp=hsp_masterselector&zipcode=78205&a=302,?gp=hsp_masterselector&zipcode=78205&a=302,attribute,302,13,13
https://www.sacrd.org/portal/housingservices/?gp=hsp_masterselector&zipcode=78207&a=302,?gp=hsp_masterselector&zipcode=78207&a=302,attribute,302,13,13
https://www.sacrd.org/portal/housingservices/?gp=hsp_masterselector&zipcode=78223&a=302,?gp=hsp_masterselector&zipcode=78223&a=302,attribute,302,13,13
https://sacrd.org/housingservices/?gp=mainPage&a=303,?gp=mainPage&a=303,attribute,303,12,12
https://sacrd.org/portal/housingservices/?gp=hsp_masterselector&zipcode=78216&a=302,?gp=hsp_masterselector&zipcode=78216&a=302,attribute,302,12,12
https://sacrd.org/portal/housingservices/?gp=hsp_masterselector&zipcode=78216&a=302,?gp=hsp_masterselector&zipcode=78216&a=302,guideme,-,12,12
https://sacrd.org/portal/housingservices/?gp=hsp_masterselector&zipcode=78251&a=302,?gp=hsp_masterselector&zipcode=78251&a=302,attribute,302,12,12
https://sacrd.org/portal/housingservices/?gp=hsp_masterselector&zipcode=78251&a=302,?gp=hsp_masterselector&zipcode=78251&a=302,guideme,-,12,12
https://sacrd.org/portal/housingservices/?gp=hsp_needhelpwith&zipcode=78240&a=302&nhw=3,?gp=hsp_needhelpwith&zipcode=78240&a=302&nhw=3,guideme,-,12,12
https://www.sacrd.org/portal/housingservices/?gp=hsp_masterselector&zipcode=78212&a=302,?gp=hsp_masterselector&zipcode=78212&a=302,attribute,302,12,12
https://www.sacrd.org/portal/housingservices/?gp=hsp_masterselector&zipcode=78212&a=302,?gp=hsp_masterselector&zipcode=78212&a=302,guideme,-,12,12
https://www.sacrd.org/portal/housingservices/?gp=hsp_masterselector&zipcode=78217&a=302,?gp=hsp_masterselector&zipcode=78217&a=302,attribute,302,12,12
https://www.sacrd.org/portal/housingservices/?gp=hsp_masterselector&zipcode=78223&a=302,?gp=hsp_masterselector&zipcode=78223&a=302,guideme,-,12,12
https://www.sacrd.org/portal/housingservices/?gp=hsp_masterselector&zipcode=78229&a=302,?gp=hsp_masterselector&zipcode=78229&a=302,attribute,302,12,12
https://www.sacrd.org/portal/housingservices/?gp=hsp_masterselector&zipcode=78258&a=303,?gp=hsp_masterselector&zipcode=78258&a=303,attribute,303,12,12
https://www.sacrd.org/portal/housingservices/?gp=hsp_masterselector&zipcode=78258&a=303,?gp=hsp_masterselector&zipcode=78258&a=303,guideme,-,12,12
https://sacrd.org/housingservices/?gp=mainPage&a=302,?gp=mainPage&a=302,attribute,302,11,11
https://sacrd.org/portal/housingservices/?gp=hsp_masterselector&zipcode=78223&a=303,?gp=hsp_masterselector&zipcode=78223&a=303,attribute,303,11,11
https://sacrd.org/portal/housingservices/?gp=hsp_masterselector&zipcode=78229&a=302,?gp=hsp_masterselector&zipcode=78229&a=302,attribute,302,11,11
https://sacrd.org/portal/housingservices/?gp=hsp_masterselector&zipcode=78229&a=302,?gp=hsp_masterselector&zipcode=78229&a=302,guideme,-,11,11
https://sacrd.org/portal/housingservices/?gp=hsp_masterselector&zipcode=78244&a=302,?gp=hsp_masterselector&zipcode=78244&a=302,attribute,302,11,11
https://sacrd.org/portal/housingservices/?gp=hsp_needhelpwith&zipcode=78221&a=302&nhw=3,?gp=hsp_needhelpwith&zipcode=78221&a=302&nhw=3,guideme,-,11,11
https://sacrd.org/portal/housingservices/?gp=hsp_needhelpwith&zipcode=78230&a=302&nhw=3,?gp=hsp_needhelpwith&zipcode=78230&a=302&nhw=3,guideme,-,11,11
https://sacrd.org/portal/housingservices/?gp=hsp_needhelpwith&zipcode=78251&a=302&nhw=3,?gp=hsp_needhelpwith&zipcode=78251&a=302&nhw=3,guideme,-,11,11
https://www.sacrd.org/portal/housingservices/?gp=hsp_masterselector&zipcode=78205,?gp=hsp_masterselector&zipcode=78205,guideme,-,11,11
https://www.sacrd.org/portal/housingservices/?gp=hsp_masterselector&zipcode=78205&a=302,?gp=hsp_masterselector&zipcode=78205&a=302,guideme,-,11,11
https://www.sacrd.org/portal/housingservices/?gp=hsp_masterselector&zipcode=78229&a=302,?gp=hsp_masterselector&zipcode=78229&a=302,guideme,-,11,11
https://www.sacrd.org/portal/housingservices/?gp=hsp_masterselector&zipcode=78240&a=302,?gp=hsp_masterselector&zipcode=78240&a=302,guideme,-,11,11
https://www.sacrd.org/portal/housingservices/?gp=hsp_masterselector&zipcode=78245&a=302,?gp=hsp_masterselector&zipcode=78245&a=302,guideme,-,11,11
https://www.sacrd.org/portal/housingservices/?gp=hsp_masterselector&zipcode=78251&a=302,?gp=hsp_masterselector&zipcode=78251&a=302,attribute,302,11,11
https://www.sacrd.org/portal/housingservices/?gp=hsp_masterselector&zipcode=78251&a=302,?gp=hsp_masterselector&zipcode=78251&a=302,guideme,-,11,11
https://sacrd.org/es/portal/housingservices/?gp=hsp_startingpage,?gp=hsp_startingpage,guideme,-,10,10
https://sacrd.org/housingservices/?gp=mainPage,?gp=mainPage,clear,-,10,10
https://sacrd.org/portal/housingservices/?gp=hsp_masterselector&zipcode=78109&a=302,?gp=hsp_masterselector&zipcode=78109&a=302,attribute,302,10,10
https://sacrd.org/portal/housingservices/?gp=hsp_masterselector&zipcode=78109&a=302,?gp=hsp_masterselector&zipcode=78109&a=302,guideme,-,10,10
https://sacrd.org/portal/housingservices/?gp=hsp_masterselector&zipcode=78201&a=302,?gp=hsp_masterselector&zipcode=78201&a=302,attribute,302,10,10
https://sacrd.org/portal/housingservices/?gp=hsp_masterselector&zipcode=78201&a=302,?gp=hsp_masterselector&zipcode=78201&a=302,guideme,-,10,10
https://sacrd.org/portal/housingservices/?gp=hsp_masterselector&zipcode=78207&a=302,?gp=hsp_masterselector&zipcode=78207&a=302,attribute,302,10,10
https://sacrd.org/portal/housingservices/?gp=hsp_masterselector&zipcode=78217&a=302,?gp=hsp_masterselector&zipcode=78217&a=302,attribute,302,10,10
https://sacrd.org/portal/housingservices/?gp=hsp_masterselector&zipcode=78217&a=302,?gp=hsp_masterselector&zipcode=78217&a=302,guideme,-,10,10
https://sacrd.org/portal/housingservices/?gp=hsp_masterselector&zipcode=78218&a=303,?gp=hsp_masterselector&zipcode=78218&a=303,attribute,303,10,10
https://sacrd.org/portal/housingservices/?gp=hsp_masterselector&zipcode=78239&a=302,?gp=hsp_masterselector&zipcode=78239&a=302,attribute,302,10,10
https://sacrd.org/portal/housingservices/?gp=hsp_masterselector&zipcode=78239&a=302,?gp=hsp_masterselector&zipcode=78239&a=302,guideme,-,10,10
https://sacrd.org/portal/housingservices/?gp=hsp_masterselector&zipcode=78244&a=302,?gp=hsp_masterselector&zipcode=78244&a=302,guideme,-,10,10
https://sacrd.org/portal/housingservices/?gp=hsp_masterselector&zipcode=78245&a=302,?gp=hsp_masterselector&zipcode=78245&a=302,attribute,302,10,10
https://sacrd.org/portal/housingservices/?gp=hsp_needhelpwith&zipcode=78212&a=302&nhw=3,?gp=hsp_needhelpwith&zipcode=78212&a=302&nhw=3,guideme,-,10,10
https://sacrd.org/portal/housingservices/?gp=hsp_needhelpwith&zipcode=78223&a=302&nhw=3,?gp=hsp_needhelpwith&zipcode=78223&a=302&nhw=3,guideme,-,10,10
https://sacrd.org/portal/housingservices/?gp=hsp_needhelpwith&zipcode=78229&a=302&nhw=3,?gp=hsp_needhelpwith&zipcode=78229&a=302&nhw=3,guideme,-,10,10
https://sacrd.org/portal/housingservices/?gp=hsp_startingpage#,?gp=hsp_startingpage,guideme,-,10,10
https://sacrd.org/portal/sadigitalconnects/?gp=mainPage&a=294,?gp=mainPage&a=294,attribute,294,10,10
https://www.sacrd.org/housingservices/?gp=hsp_masterselector&zipcode=78212&a=302,?gp=hsp_masterselector&zipcode=78212&a=302,attribute,302,10,10
https://www.sacrd.org/housingservices/?gp=hsp_masterselector&zipcode=78212&a=302,?gp=hsp_masterselector&zipcode=78212&a=302,guideme,-,10,10
https://www.sacrd.org/housingservices/?gp=hsp_needhelpwith&zipcode=78212&a=302&nhw=0,?gp=hsp_needhelpwith&zipcode=78212&a=302&nhw=0,guideme,-,10,10
https://www.sacrd.org/portal/housingservices/?gp=hsp_masterselector&zipcode=78201&a=302,?gp=hsp_masterselector&zipcode=78201&a=302,guideme,-,10,10
https://www.sacrd.org/portal/housingservices/?gp=hsp_masterselector&zipcode=78204&a=302,?gp=hsp_masterselector&zipcode=78204&a=302,attribute,302,10,10
https://www.sacrd.org/portal/housingservices/?gp=hsp_masterselector&zipcode=78204&a=302,?gp=hsp_masterselector&zipcode=78204&a=302,guideme,-,10,10
https://www.sacrd.org/portal/housingservices/?gp=hsp_masterselector&zipcode=78207&a=302,?gp=hsp_masterselector&zipcode=78207&a=302,guideme,-,10,10
https://www.sacrd.org/portal/housingservices/?gp=hsp_masterselector&zipcode=78207&a=303,?gp=hsp_masterselector&zipcode=78207&a=303,attribute,303,10,10
https://www.sacrd.org/portal/housingservices/?gp=hsp_masterselector&zipcode=78216&a=302,?gp=hsp_masterselector&zipcode=78216&a=302,attribute,302,10,10
https://www.sacrd.org/portal/housingservices/?gp=hsp_masterselector&zipcode=78217&a=302,?gp=hsp_masterselector&zipcode=78217&a=302,guideme,-,10,10
https://www.sacrd.org/portal/housingservices/?gp=hsp_masterselector&zipcode=78229&a=303,?gp=hsp_masterselector&zipcode=78229&a=303,attribute,303,10,10
https://www.sacrd.org/portal/housingservices/?gp=hsp_masterselector&zipcode=78240&a=303,?gp=hsp_masterselector&zipcode=78240&a=303,attribute,303,10,10
https://www.sacrd.org/portal/housingservices/?gp=hsp_masterselector&zipcode=78245&a=303,?gp=hsp_masterselector&zipcode=78245&a=303,attribute,303,10,10
https://www.sacrd.org/portal/housingservices/?gp=hsp_needhelpwith&zipcode=78223&a=302&nhw=3,?gp=hsp_needhelpwith&zipcode=78223&a=302&nhw=3,guideme,-,10,10
https://www.sacrd.org/portal/housingservices/?gp=hsp_needhelpwith&zipcode=78245&a=302&nhw=3,?gp=hsp_needhelpwith&zipcode=78245&a=302&nhw=3,guideme,-,10,10
https://www.sacrd.org/portal/housingservices/?gp=hsp_needhelpwith&zipcode=78258&a=303&nhw=0,?gp=hsp_needhelpwith&zipcode=78258&a=303&nhw=0,guideme,-,10,10
https://www.sacrd.org/portal/housingservices/?gp=hsp_startingpage#,?gp=hsp_startingpage,guideme,-,10,10
https://www.sacrd.org/portal/housingservices/?gp=mainPage&a=301,?gp=mainPage&a=301,attribute,301,10,10
https://www.sacrd.org/portal/housingservices/?gp=mainPage&a=317,?gp=mainPage&a=317,attribute,317,10,10
https://www.sacrd.org/portal/sadigitalconnects/?gp=mainPage&a=291,?gp=mainPage&a=291,attribute,291,10,10
https://www.sacrd.org/portal/sadigitalconnects/?gp=mainPage&a=294,?gp=mainPage&a=294,attribute,294,10,10
https://comalcares.org/portal/housingservices/?gp=hsp_masterselector&zipcode=78130&a=302,?gp=hsp_masterselector&zipcode=78130&a=302,attribute,302,9,9
https://sacrd.org/portal/housingservices/?gp=hsp_helppayhousing&zipcode=78230&a=302&nhw=3&gr=78,?gp=hsp_helppayhousing&zipcode=78230&a=302&nhw=3&gr=78,attribute,78,9,9
https://sacrd.org/portal/housingservices/?gp=hsp_helppayhousing&zipcode=78240&a=302&nhw=3&gr=78,?gp=hsp_helppayhousing&zipcode=78240&a=302&nhw=3&gr=78,attribute,78,9,9
https://sacrd.org/portal/housingservices/?gp=hsp_masterselector&zipcode=78205,?gp=hsp_masterselector&zipcode=78205,guideme,-,9,9
https://sacrd.org/portal/housingservices/?gp=hsp_masterselector&zipcode=78207&a=302,?gp=hsp_masterselector&zipcode=78207&a=302,guideme,-,9,9
https://sacrd.org/portal/housingservices/?gp=hsp_masterselector&zipcode=78214&a=303,?gp=hsp_masterselector&zipcode=78214&a=303,attribute,303,9,9
https://sacrd.org/portal/housingservices/?gp=hsp_masterselector&zipcode=78218&a=303,?gp=hsp_masterselector&zipcode=78218&a=303,guideme,-,9,9
