"ProjectCategory","SMPProjectID","CouncilDistrict","ProjectStreet","StreetFrom","StreetTo","ProjectLimits","FiscalYear","Application","Type_","Force","WeightedPCI","PBaseFail","FieldBasePave","PFlatWork","EstTotalCost","ProjectStatus","ScheduleStart","ScheduleFinish","ActualStart","ActualFinish","ProjectManager","Contact","Shape_Length","Sealant_App","PCI_Factor","ActStart","ActFinish","ActDuration","START","Oday","Odate","Omonth","Ohour","Oyear","Otime"
"Preservation","16347","5","Whitman Ave","Somerset Rd","Dead End","Whitman Ave From Somerset Rd To Dead End",2015,"Slurry Seal - City","Sealant","City",56,0,0,0,29345.0121390353,"No Change",NA,NA,NA,NA,NA,NA,1856.83050999916,"Slurry Seal","D (41-60)",NA,NA,NA,NA,NA,NA,NA,NA,"20NA",NA
"Preservation","16514","9","Arrow Rdg","Lost Arrow","Lost Arrow","Arrow Rdg From Lost Arrow To Lost Arrow",2014,"Slurry Seal - City","Sealant","City",77,0,0,0,24202.3864623223,"0",NA,NA,NA,NA,NA,NA,4886.26712029004,"Slurry Seal","B (71-85)",NA,NA,NA,NA,NA,NA,NA,NA,"20NA",NA
"Preservation","17212","5","McAskill","W Mitchell St","McKay","McAskill From W Mitchell St To McKay",2015,"Fog Seal - City","Sealant","City",76,0,0,0,1281.09333646487,"0",NA,NA,NA,NA,NA,NA,172.946321082137,"Fog Seal","B (71-85)",NA,NA,NA,NA,NA,NA,NA,NA,"20NA",NA
"Preservation","17251","1","N St Mary's","E Ashby Place & Terry Ct","W Josephine","N St Mary's From E Ashby Place & Terry Ct To W Josephine",2014,"Crack Seal - City","Sealant","City",83,0,0,0,1413.22498904044,"No Change",NA,NA,NA,NA,NA,NA,738.513105285796,"Crack Seal","B (71-85)",NA,NA,NA,NA,NA,NA,NA,NA,"20NA",NA
"Preservation","17387","10","Darmstad","Shingle Oak","Dead End","Darmstad From Shingle Oak To Dead End",2016,"Slurry Seal - City","Sealant","City",82,0,0,0,4078.64358800211,"0",NA,NA,NA,NA,NA,NA,465.282162159039,"Slurry Seal","B (71-85)",NA,NA,NA,NA,NA,NA,NA,NA,"20NA",NA
"Preservation","17389","9","Mt Serolod","Blanco Rd","Mt Boracho","Mt Serolod From Blanco Rd To Mt Boracho",2014,"Fog Seal - City","Sealant","City",84,0,0,0,17800.0629831351,"0",NA,NA,NA,NA,NA,NA,1397.74160054833,"Fog Seal","B (71-85)",NA,NA,NA,NA,NA,NA,NA,NA,"20NA",NA
"Preservation","17392","10","Ashington","Bridgeview","Dead End","Ashington  From Bridgeview To Dead End",2015,"Fog Seal - City","Sealant","City",75,0,0,0,NA,"APCode Change",NA,NA,NA,NA,NA,NA,357.61585929234,"Fog Seal","B (71-85)",NA,NA,NA,NA,NA,NA,NA,NA,"20NA",NA
"Preservation","17407","9","Chittim Meadow Dr","Chittim Hollow Dr","Chittim Trail Dr","Chittim Meadow Dr From Chittim Hollow Dr To Chittim Trail Dr",2014,"Fog Seal - City","Sealant","City",83,0,0,0,10440.06,"APCode Change",NA,NA,NA,NA,NA,NA,877.434529961085,"Fog Seal","B (71-85)",NA,NA,NA,NA,NA,NA,NA,NA,"20NA",NA
"Preservation","17444","10","Drexel Run","Arcadia Park","Argyle Way","Drexel Run From Arcadia Park To Argyle Way",2014,"Fog Seal - City","Sealant","City",97,0,0,0,10119.0237037461,"Change AP from 9 to 25",NA,NA,NA,NA,NA,NA,1064.01187106245,"Fog Seal","A (86-100)",NA,NA,NA,NA,NA,NA,NA,NA,"20NA",NA
"Preservation","17447","10","Pebble Sound","Forest Spur","Pebble Park","Pebble Sound From Forest Spur To Pebble Park",2017,"Crack Seal - City","Sealant","City",86,0,0,0,1001.16200141989,"0",NA,NA,NA,NA,NA,NA,628.027434666571,"Crack Seal","A (86-100)",NA,NA,NA,NA,NA,NA,NA,NA,"20NA",NA
"Preservation","17448","2","Sardonyx","Eveningway","Moonstone","Sardonyx From Eveningway To Moonstone",2017,"Fog Seal - City","Sealant","City",59,0,0,0,1458.65062258912,"0",NA,NA,NA,NA,NA,NA,301.940757357433,"Fog Seal","D (41-60)",NA,NA,NA,NA,NA,NA,NA,NA,"20NA",NA
