Unnamed: 1,Unnamed: 2,Unnamed: 4,Unnamed: 5
Pothole Cases From Sun 12/15/2019 To Tue 06/04/2024,Unknown,Unknown,Unknown
CD,# Cases,Closed,# Cases
0,570,NO,15
1,6713,YES,50691
2,7854,Grand Total,50706
3,6228,Unknown,Unknown
4,5086,Unknown,Unknown
5,6041,Unknown,Unknown
6,3556,Unknown,Unknown
7,4462,Unknown,Unknown
8,3136,Unknown,Unknown
9,2245,Unknown,Unknown
10,4815,Unknown,Unknown
Grand Total,50706,Unknown,Unknown
